,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,0.74,0.74,0.64,0.65,0.63,0.31,0.26,0.35,0.32,0.42,0.3,0.24,0.27,0.28,0.19
f_1,0.64,0.4,0.71,0.71,0.61,0.66,0.29,0.38,0.3,0.29,0.34,0.31,0.22,0.29,0.27,0.26
e_1,0.66,0.45,0.4,0.8,0.67,0.61,0.4,0.43,0.33,0.31,0.37,0.38,0.29,0.32,0.47,0.31
c_1,0.81,0.71,0.53,0.38,0.82,0.6,0.37,0.38,0.32,0.26,0.18,0.28,0.25,0.31,0.28,0.24
b_1,0.68,0.75,0.65,0.41,0.36,0.9,0.41,0.38,0.37,0.36,0.27,0.3,0.28,0.3,0.29,0.25
a_1,0.72,0.68,0.75,0.7,0.4,0.32,0.41,0.39,0.32,0.4,0.38,0.32,0.31,0.45,0.35,0.27
h_1,0.63,0.66,0.6,0.62,0.63,0.56,0.24,0.37,0.28,0.26,0.26,0.3,0.24,0.28,0.29,0.26
g_1,0.66,0.73,0.59,0.63,0.66,0.57,0.27,0.22,0.29,0.27,0.27,0.3,0.2,0.27,0.26,0.27
c_0,0.42,0.75,0.66,0.84,0.62,0.63,0.35,0.3,0.23,0.36,0.34,0.31,0.26,0.33,0.29,0.26
b_0,0.52,0.68,0.68,0.81,0.72,0.5,0.34,0.36,0.19,0.23,0.32,0.27,0.25,0.3,0.28,0.24
d_0,0.67,0.6,0.41,0.79,0.87,0.57,0.41,0.42,0.28,0.25,0.23,0.3,0.24,0.29,0.35,0.26
f_0,0.62,0.82,0.61,0.63,0.63,0.65,0.34,0.25,0.27,0.28,0.27,0.21,0.23,0.26,0.37,0.17
h_0,0.6,0.74,0.59,0.69,0.6,0.51,0.45,0.33,0.26,0.26,0.28,0.27,0.27,0.26,0.25,0.27
a_0,0.63,0.66,0.65,0.67,0.64,0.61,0.33,0.36,0.24,0.19,0.3,0.31,0.25,0.2,0.25,0.29
e_0,0.58,0.83,0.7,0.69,0.65,0.56,0.33,0.29,0.27,0.27,0.26,0.16,0.21,0.29,0.19,0.23
g_0,0.62,0.69,0.62,0.66,0.57,0.59,0.26,0.39,0.27,0.29,0.28,0.3,0.19,0.25,0.24,0.27
