,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.35,1.34,0.73,0.78,0.67,0.64,1.35,1.64,1.54,1.32,1.71,0.98,2.02,1.78,1.86,1.39
e_1,0.61,2.4,0.72,0.87,0.91,0.88,1.21,1.46,2.89,1.91,1.74,1.83,1.73,1.69,2.12,0.67
d_1,0.86,0.63,2.52,0.67,0.72,0.75,1.68,1.51,0.89,2.7,1.95,1.9,2.28,1.61,1.72,1.83
c_1,0.74,0.77,0.73,2.59,1.18,0.8,1.6,1.4,1.36,0.78,1.24,1.99,1.93,1.96,1.89,1.5
b_1,0.83,0.74,0.73,0.75,2.77,1.17,1.73,1.31,1.49,1.73,0.66,1.43,2.51,1.11,2.45,1.96
a_1,0.91,0.64,0.91,0.66,0.72,3.23,1.62,1.53,1.56,1.63,1.77,1.91,2.69,1.18,1.66,1.58
h_1,1.4,1.07,0.95,1.01,0.81,0.81,3.88,2.15,2.19,2.29,2.32,1.83,1.72,2.26,4.09,2.55
g_1,0.92,0.85,1.33,1.06,0.92,0.91,1.87,4.29,2.1,2.0,2.05,3.16,2.23,2.46,1.73,1.99
d_0,1.21,0.72,0.58,1.8,1.0,0.99,1.84,1.66,3.68,2.02,2.39,2.11,2.24,1.71,2.58,3.06
c_0,1.33,0.89,1.01,0.69,0.82,0.96,2.15,1.93,2.38,3.82,3.95,1.95,3.35,2.76,3.54,2.9
b_0,1.22,0.9,1.1,1.25,0.62,0.95,2.08,2.31,2.23,1.95,3.94,2.03,2.78,3.57,3.08,2.79
f_0,0.42,0.89,1.27,1.05,1.07,1.03,2.24,1.72,2.74,3.1,2.4,4.26,2.67,2.43,3.15,4.18
h_0,1.31,1.03,1.03,1.1,0.95,0.82,1.25,2.46,2.27,2.01,2.24,2.14,1.39,2.28,3.22,2.19
a_0,1.18,0.87,1.14,0.92,1.17,0.54,2.2,1.7,2.47,1.92,2.1,2.61,3.08,4.67,3.11,3.2
g_0,1.0,0.88,1.65,1.05,0.85,1.07,1.29,1.16,2.29,1.85,2.27,2.69,2.34,2.09,1.99,2.3
e_0,1.43,0.51,1.08,1.14,0.9,0.81,1.88,2.13,2.17,2.28,2.42,1.82,3.15,2.6,2.97,5.06
