,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,33.33,29.3,32.97,40.0,34.7,5.68,6.08,8.63,7.32,10.74,,2.89,8.19,5.71,7.37
e_1,17.42,0.45,38.46,49.71,39.68,30.12,10.3,4.81,17.12,6.52,7.1,7.0,4.08,7.72,5.9,
d_1,41.5,42.11,0.43,36.54,32.49,38.97,9.72,,5.3,6.01,7.66,6.14,4.8,9.36,2.92,5.86
c_1,32.56,35.5,39.91,0.42,26.67,37.99,9.47,3.78,13.5,,7.75,8.43,4.98,8.59,3.11,
b_1,44.27,43.56,34.81,19.85,0.39,,10.92,11.4,9.81,9.7,,7.18,4.78,,4.44,7.17
a_1,44.27,52.73,39.31,38.98,,0.32,12.38,13.37,15.44,10.78,9.61,10.11,8.41,,6.81,
h_1,19.43,16.45,18.51,19.19,16.05,17.54,0.39,2.64,4.22,3.5,2.78,3.33,,3.93,3.28,2.14
d_0,13.87,8.45,,16.28,16.54,13.59,3.62,0.51,5.84,3.66,2.49,2.83,3.07,2.67,2.55,3.0
g_1,20.93,25.96,26.78,16.7,17.72,18.29,4.19,4.46,0.33,4.75,4.36,4.44,2.13,,,
c_0,21.56,14.85,7.88,,19.93,13.44,4.41,3.08,5.23,0.49,3.51,2.21,2.12,3.14,2.16,4.57
b_0,19.07,22.66,18.3,24.34,,16.66,5.65,4.07,3.59,1.69,0.47,2.74,2.13,3.56,2.77,2.27
f_0,,15.35,23.4,14.59,16.1,20.9,6.77,4.43,2.19,3.18,3.08,0.49,3.61,2.76,1.52,3.48
h_0,14.66,15.87,10.19,9.91,15.97,11.8,,2.4,3.39,2.64,2.81,2.1,,2.2,1.52,2.64
a_0,19.6,24.36,25.64,20.71,,,5.46,5.09,,3.26,1.87,3.27,3.2,0.38,3.63,
g_0,15.02,13.43,16.06,14.7,11.8,19.23,3.11,2.86,,3.0,2.96,4.17,1.09,2.59,,
e_0,17.85,,22.97,,19.93,,4.38,6.31,,5.02,3.55,2.48,3.23,,,0.35
