,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.53,0.89,1.02,0.74,0.78,0.68,1.08,0.87,1.59,0.84,1.27,1.02,1.09,1.02,0.94,1.03
e_1,0.81,1.53,0.81,1.06,0.9,0.77,1.05,0.97,1.04,1.6,0.98,1.24,1.21,1.01,0.77,1.09
f_1,0.81,1.42,1.54,0.89,0.77,0.6,0.81,0.97,1.0,1.04,1.02,0.72,1.04,0.88,0.67,0.82
c_1,0.99,0.81,0.86,1.6,1.34,0.8,1.06,0.89,0.75,0.85,0.82,1.09,1.05,0.8,0.76,1.11
b_1,1.06,0.81,1.03,0.76,1.64,1.3,1.23,0.98,1.05,0.96,0.86,0.99,1.05,0.68,1.1,1.21
a_1,1.09,0.99,1.17,0.94,0.67,1.76,1.26,1.11,1.11,1.32,1.11,1.09,1.55,0.82,1.16,1.27
h_1,1.14,1.06,1.44,1.14,1.01,0.86,1.81,1.41,1.3,1.28,1.27,1.1,1.24,0.97,1.16,1.62
g_1,1.65,0.98,0.91,1.16,1.07,0.9,1.24,1.89,1.36,1.09,1.28,1.68,1.32,1.28,1.44,1.15
c_0,1.16,1.24,1.2,0.99,0.96,0.92,1.33,1.34,1.76,1.55,2.05,1.34,1.59,1.48,1.18,1.36
d_0,1.03,1.07,1.24,1.88,1.11,0.81,1.32,1.34,1.02,1.73,1.09,1.35,1.5,1.14,1.25,1.46
b_0,1.3,1.22,1.2,1.2,0.8,0.8,1.46,1.4,1.29,1.4,1.8,1.22,1.69,2.24,1.18,1.51
f_0,1.26,0.91,1.23,1.15,1.11,1.18,1.61,1.3,1.47,1.33,1.44,1.82,1.77,1.28,2.32,1.36
h_0,1.39,1.19,1.6,1.28,1.16,0.77,1.14,1.57,1.49,1.27,1.2,1.19,1.34,1.38,1.0,1.71
a_0,1.38,1.31,1.27,1.36,1.06,0.87,1.65,1.42,1.49,1.48,1.25,1.45,1.57,1.82,1.14,1.44
e_0,1.39,1.11,1.42,1.33,1.13,0.94,1.55,1.3,1.52,1.32,1.44,1.16,1.91,1.4,1.85,1.56
g_0,1.72,1.14,1.34,1.16,1.06,0.97,1.37,1.39,1.59,1.29,1.32,1.89,1.38,1.46,1.26,1.42
