,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.44,1.29,1.48,1.78,3.04,17.04,32.2,30.06,32.9,36.51,54.68,60.58,81.31,121.87,101.4
e_1,0.7,1.0,1.18,1.58,1.93,3.58,20.0,29.9,42.04,36.54,40.64,63.57,66.82,84.96,131.59,130.98
d_1,0.79,0.82,1.0,1.15,1.52,2.48,16.16,20.03,24.42,35.19,32.75,39.93,55.92,74.24,78.9,112.72
c_1,0.68,0.64,0.87,1.0,1.76,2.54,13.98,20.35,14.97,23.52,21.25,38.09,49.9,64.86,78.82,85.67
b_1,0.55,0.52,0.65,0.58,1.0,2.58,12.06,16.24,17.02,22.72,21.69,28.17,42.17,41.38,72.8,78.17
a_1,0.33,0.28,0.41,0.39,0.4,1.0,6.65,9.33,8.65,13.25,13.37,16.17,24.06,26.97,35.13,37.54
h_1,0.06,0.05,0.06,0.07,0.09,0.14,1.0,1.79,1.6,1.67,1.83,2.46,3.39,4.02,7.35,6.67
g_1,0.03,0.03,0.05,0.05,0.06,0.11,0.59,1.0,1.05,1.16,1.29,2.04,2.0,3.0,4.17,4.38
d_0,0.03,0.02,0.04,0.07,0.06,0.11,0.65,0.92,1.0,0.96,1.34,1.67,2.49,3.08,4.04,5.08
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.58,0.87,0.94,1.0,1.48,1.33,2.17,2.73,3.56,4.18
b_0,0.03,0.02,0.03,0.05,0.05,0.07,0.55,0.83,0.77,0.7,1.0,1.28,1.87,3.28,2.94,3.6
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.41,0.48,0.59,0.7,0.76,1.0,1.28,1.73,1.93,3.69
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.3,0.51,0.41,0.47,0.54,0.73,1.0,1.25,1.98,1.65
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.33,0.35,0.35,0.32,0.6,0.77,1.0,1.43,1.55
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.25,0.28,0.32,0.54,0.51,0.75,1.0,1.2
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.22,0.24,0.27,0.27,0.6,0.68,0.86,1.0
