,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.87,0.99,0.86,0.78,0.6,0.72,0.65,0.56,0.58,0.51,0.52,0.59,0.5,0.59
e_1,0.83,1.0,0.97,1.16,0.93,0.81,0.78,0.7,0.87,0.65,0.7,0.73,0.63,0.59,0.67,0.59
d_1,1.1,1.03,1.0,0.87,0.94,0.82,0.75,0.55,0.64,0.85,0.67,0.65,0.6,0.57,0.58,0.48
c_1,1.01,0.86,1.18,1.0,1.31,0.93,0.67,0.66,0.48,0.6,0.57,0.64,0.6,0.55,0.53,0.57
b_1,1.17,1.06,1.08,0.76,1.0,1.35,0.79,0.67,0.7,0.8,0.67,0.67,0.67,0.49,0.6,0.63
a_1,1.32,1.22,1.25,1.05,0.74,1.0,0.98,0.94,0.79,0.79,0.86,0.67,0.75,0.86,0.62,0.7
h_1,1.69,1.31,1.34,1.44,1.28,1.02,1.0,1.04,0.94,0.82,0.94,0.89,0.87,0.76,0.88,0.97
g_1,1.35,1.44,1.84,1.49,1.49,1.07,0.94,1.0,0.96,0.93,0.95,1.15,0.71,0.83,0.84,0.98
d_0,1.49,1.13,1.54,2.13,1.52,1.26,1.05,1.06,1.0,0.77,0.91,0.92,0.99,0.86,0.89,0.92
c_0,1.71,1.59,1.19,1.62,1.21,1.2,1.19,1.06,1.28,1.0,1.35,0.87,0.98,0.93,0.91,0.91
b_0,1.74,1.46,1.49,1.75,1.49,1.21,1.11,1.05,1.14,0.77,1.0,0.97,0.95,1.24,0.89,0.94
f_0,1.88,1.36,1.62,1.61,1.45,1.46,1.11,0.83,1.07,1.1,0.99,0.99,1.04,0.85,1.29,0.83
h_0,1.92,1.59,1.69,1.66,1.43,1.38,1.22,1.39,1.01,1.02,1.03,0.93,1.0,0.95,0.8,1.12
a_0,1.7,1.62,1.76,1.93,1.99,1.28,1.36,1.23,1.22,1.05,0.84,1.16,1.01,1.0,1.07,0.95
e_0,1.98,1.57,1.69,1.87,1.66,1.54,1.19,1.18,1.07,1.08,1.15,0.79,1.3,0.94,1.0,0.99
g_0,1.75,1.65,2.05,1.79,1.61,1.34,1.07,1.01,1.06,1.1,1.07,1.2,0.91,1.1,0.98,1.0
