,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.56,0.95,0.83,0.98,0.88,0.79,1.35,1.01,0.95,0.95,,0.85,1.1,0.95,1.13
e_1,0.64,1.0,1.03,1.02,1.15,0.98,1.03,0.89,1.64,1.1,0.87,1.14,0.91,0.97,0.96,
c_1,1.05,0.98,1.0,0.86,1.48,1.05,1.13,0.93,0.78,,1.03,1.07,0.96,0.75,1.0,0.97
d_1,1.21,0.98,1.17,1.0,1.06,1.16,1.01,0.8,,1.38,0.75,0.79,1.05,0.9,0.88,0.74
b_1,1.02,0.87,0.68,0.94,1.0,1.59,1.04,1.09,1.1,1.15,,0.97,1.11,1.0,1.13,0.88
a_1,1.13,1.02,0.95,0.86,0.63,1.0,1.12,1.03,1.14,1.24,,,1.39,,,
h_1,1.26,0.97,0.88,0.99,0.97,0.89,1.0,1.11,0.92,1.08,0.88,0.98,,0.82,1.09,1.04
g_1,0.74,1.13,1.07,1.25,0.92,0.97,0.9,1.0,1.02,0.98,0.93,1.28,0.87,1.19,,0.86
d_0,0.99,0.61,1.28,,0.91,0.88,1.09,0.98,1.0,1.02,0.96,1.0,1.33,1.15,1.39,0.77
c_0,1.06,0.91,,0.72,0.87,0.8,0.92,1.02,0.98,1.0,1.43,1.02,0.96,1.13,1.31,1.26
b_0,1.05,1.15,0.97,1.33,,,1.14,1.08,1.04,0.7,1.0,0.95,0.8,1.12,0.81,1.15
f_0,,0.88,0.94,1.26,1.04,,1.02,0.78,1.0,0.98,1.05,1.0,1.5,0.92,0.82,1.18
h_0,1.18,1.1,1.04,0.95,0.9,0.72,,1.15,0.75,1.05,1.25,0.66,,1.31,1.07,0.97
a_0,0.91,1.03,1.34,1.11,1.0,,1.21,0.84,0.87,0.89,0.89,1.09,0.77,1.0,1.05,
g_0,1.05,1.04,1.0,1.14,0.89,,0.92,,0.72,0.76,1.23,1.22,0.94,0.95,,1.0
e_0,0.88,,1.03,1.35,1.13,,0.96,1.17,1.3,0.79,0.87,0.85,1.03,,1.0,1.0
