,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.23,1.59,0.64,0.63,0.54,0.5,0.89,0.79,0.79,0.88,0.8,0.52,0.84,0.79,0.53,0.93
e_1,0.72,12.23,0.52,0.93,0.63,0.57,0.92,0.64,0.75,2.45,0.94,0.92,1.06,1.09,0.74,1.04
d_1,0.74,0.59,15.39,0.45,0.56,0.67,0.97,1.11,2.54,0.52,1.25,1.15,1.03,1.1,0.96,1.06
c_1,0.53,0.5,0.66,14.02,1.64,0.81,0.79,0.96,0.53,0.76,0.63,0.97,0.91,0.83,1.05,0.81
b_1,0.61,0.47,0.6,0.78,16.76,1.61,0.89,0.9,0.85,0.8,0.61,0.95,1.01,0.66,0.96,0.87
a_1,0.68,0.54,0.82,0.66,0.65,23.52,1.2,1.19,0.9,0.84,1.01,1.01,0.91,0.67,1.19,0.98
h_1,1.34,0.68,0.69,0.73,0.54,0.63,4.14,1.67,1.09,0.88,1.27,1.04,0.87,1.21,1.29,1.48
g_1,0.55,0.56,1.86,0.6,0.65,0.79,0.83,5.03,1.44,0.54,1.36,2.27,1.1,1.2,1.33,0.94
c_0,1.02,0.77,1.01,0.54,0.48,0.59,1.23,1.05,2.41,1.05,3.26,1.41,1.32,1.46,1.34,1.29
d_0,0.83,0.68,0.46,2.29,0.78,0.57,1.13,0.91,0.64,2.14,1.34,0.92,1.35,1.02,1.03,1.0
b_0,0.92,0.75,1.0,0.84,0.35,0.59,1.3,1.13,1.01,0.93,2.98,1.11,1.19,2.53,1.2,1.14
f_0,0.46,0.59,0.89,0.72,0.76,0.88,1.14,1.25,1.07,1.42,1.53,3.75,1.38,1.41,4.23,1.45
h_0,1.34,0.83,0.88,0.65,0.79,0.66,0.54,1.39,0.88,0.78,1.03,0.94,0.71,1.07,1.14,1.39
a_0,0.96,0.7,0.86,0.87,0.88,0.46,1.28,0.86,1.14,1.04,1.18,1.0,1.42,3.27,0.86,1.12
e_0,0.89,0.43,1.06,0.8,0.71,0.53,1.12,1.47,0.97,1.22,1.37,1.42,1.2,1.89,4.82,1.1
g_0,0.59,0.62,1.8,0.78,0.74,0.6,0.89,0.76,1.07,0.86,1.17,1.91,1.1,1.13,1.54,0.79
