,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.35,0.31,0.41,0.25,0.27,0.25,0.58,0.49,0.67,0.66,0.77,,0.57,0.68,0.53,0.75
c_1,0.28,2.46,0.28,0.46,0.33,0.3,0.41,0.65,,0.62,0.49,0.55,0.53,0.79,0.6,0.83
e_1,0.26,0.27,2.49,0.32,0.24,0.22,0.6,0.92,0.65,0.54,0.76,0.48,0.49,0.78,,0.65
b_1,0.32,0.25,0.26,2.58,0.33,0.39,0.63,0.49,0.61,0.67,,0.68,0.67,0.68,0.7,0.62
d_1,0.28,0.15,0.3,0.27,2.61,0.26,0.54,,1.11,0.39,0.65,0.71,0.9,0.83,0.68,0.63
a_1,0.32,0.24,0.25,0.22,0.37,3.17,0.63,0.58,0.59,0.43,0.55,0.67,,0.78,0.78,0.86
h_1,0.6,0.69,0.52,0.39,0.66,0.49,3.95,1.2,1.22,1.25,1.4,0.92,1.2,,,1.77
d_0,0.68,1.07,0.6,0.63,,0.64,1.27,3.35,1.4,1.06,0.91,1.43,0.94,1.84,1.42,1.67
c_0,0.65,,0.55,0.57,0.42,0.77,1.22,1.28,3.55,1.14,2.09,1.7,1.5,1.96,1.52,1.84
g_1,0.38,0.48,0.5,0.45,0.91,0.58,0.94,1.29,1.09,4.32,1.33,1.68,1.19,1.7,,
b_0,0.5,0.54,0.58,,0.6,0.59,1.11,1.88,1.38,1.27,3.85,1.31,2.82,1.49,1.43,2.34
f_0,,0.71,0.64,0.71,0.61,0.63,1.38,1.48,1.07,1.12,1.75,4.04,,1.71,2.18,1.59
a_0,0.75,0.56,0.81,0.57,0.46,,1.06,1.59,1.37,1.19,0.84,,4.6,2.45,,1.55
h_0,1.13,0.85,0.73,0.76,0.67,0.61,,2.03,1.46,1.38,1.85,1.56,1.31,,1.52,2.31
e_0,0.69,0.64,,0.67,0.56,0.57,,1.18,1.37,,1.43,1.18,,1.85,4.85,1.91
g_0,0.5,0.69,0.68,0.87,0.96,0.77,1.61,1.79,1.78,,1.33,2.42,1.77,1.87,2.12,
