,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.03,0.93,0.77,0.84,0.67,0.53,0.58,0.37,0.49,0.48,0.37,0.35,0.33,0.28,0.37
f_1,0.97,1.0,1.3,0.91,0.77,0.65,0.44,0.39,0.43,0.45,0.37,0.3,0.3,0.31,0.33,0.25
e_1,1.08,0.77,1.0,1.05,0.97,0.76,0.49,0.44,0.46,0.59,0.44,0.47,0.39,0.35,0.36,0.32
c_1,1.3,1.1,0.95,1.0,1.48,0.71,0.42,0.38,0.44,0.34,0.32,0.37,0.38,0.33,0.34,0.37
b_1,1.2,1.3,1.03,0.68,1.0,1.34,0.67,0.53,0.54,0.43,0.52,0.48,0.43,0.39,0.41,0.38
a_1,1.48,1.54,1.31,1.42,0.75,1.0,0.76,0.62,0.68,0.59,0.63,0.61,0.59,0.45,0.54,0.37
h_1,1.87,2.27,2.04,2.33,1.47,1.34,1.0,0.86,1.09,0.84,0.76,0.83,0.72,0.62,0.75,0.62
c_0,1.77,2.51,2.29,2.33,1.7,1.66,1.15,1.0,1.16,1.14,1.36,0.85,0.87,0.94,0.79,0.73
g_1,2.73,2.36,2.06,2.15,1.86,1.39,0.91,0.89,1.0,0.83,0.84,0.98,0.73,0.74,0.72,0.66
d_0,2.22,2.29,1.69,2.93,2.33,1.57,1.19,0.87,1.19,1.0,1.03,0.82,0.85,0.77,0.74,0.67
b_0,2.15,2.64,2.23,3.01,2.06,1.61,1.33,0.75,1.18,0.99,1.0,1.11,0.93,1.22,0.83,0.84
f_0,2.7,3.18,2.03,2.71,2.14,1.7,1.24,1.16,1.06,1.13,0.95,1.0,0.94,1.05,0.68,1.25
h_0,2.85,3.34,2.59,2.66,2.37,1.77,1.37,1.15,1.38,1.17,1.11,1.07,1.0,0.89,1.08,0.82
a_0,3.08,3.28,2.86,3.31,2.57,2.16,1.62,1.08,1.38,1.45,0.82,1.07,1.14,1.0,1.0,0.99
g_0,3.76,3.01,2.72,2.99,2.42,1.84,1.35,1.31,1.36,1.25,1.13,1.48,0.92,0.99,1.0,1.08
e_0,2.94,3.96,2.99,2.62,2.63,2.56,1.67,1.48,1.47,1.54,1.18,0.81,1.15,0.99,0.86,1.0
