,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.4,1.89,1.04,1.15,1.01,1.37,2.0,2.29,2.27,2.5,2.64,1.58,2.99,2.49,3.46,2.04
e_1,1.19,2.46,1.04,1.52,1.18,1.06,2.54,2.73,2.53,4.45,2.69,3.28,3.57,3.16,3.43,2.28
d_1,1.32,1.22,2.5,1.09,1.3,1.02,2.44,4.28,2.04,1.61,2.95,2.81,3.29,2.58,2.95,3.25
c_1,1.19,1.01,1.33,2.55,2.02,1.19,2.44,1.56,2.11,2.18,2.04,2.45,3.36,2.42,3.42,2.61
b_1,1.25,1.15,1.3,1.13,2.79,2.09,2.5,2.57,2.05,2.57,2.04,2.74,3.34,2.64,2.96,2.69
a_1,1.1,1.3,1.43,1.3,1.02,3.41,2.4,2.8,2.87,2.7,3.02,2.9,3.77,2.15,3.54,2.8
h_1,1.78,1.18,1.5,1.23,1.23,1.27,4.01,2.69,3.23,3.15,3.32,2.74,2.84,2.6,4.79,2.87
c_0,1.63,1.25,1.15,1.26,1.07,1.41,2.89,4.06,3.31,3.64,5.28,3.44,3.93,3.64,3.61,3.43
g_1,1.28,1.22,1.8,1.41,1.4,1.11,2.43,2.7,4.57,2.55,2.73,3.83,2.84,3.23,2.44,3.24
d_0,1.37,0.99,1.17,2.31,1.36,1.22,2.52,2.15,2.86,4.07,3.15,2.91,3.66,3.36,4.24,3.32
b_0,1.59,1.3,1.4,1.58,0.89,1.13,2.38,2.39,2.79,3.12,4.5,3.09,3.99,5.86,3.98,2.92
f_0,1.23,0.96,1.53,1.54,1.4,1.34,2.98,2.98,2.54,2.97,2.75,4.49,3.46,3.33,3.11,6.14
h_0,1.84,1.26,1.33,1.34,1.2,1.14,2.11,2.79,3.82,2.71,2.83,2.83,2.98,2.92,4.03,2.52
a_0,1.45,1.23,1.65,1.47,1.52,0.86,3.0,2.79,2.38,3.15,2.42,3.04,4.01,4.88,3.57,3.7
g_0,1.26,1.2,1.86,1.43,1.34,1.05,2.32,3.03,2.66,2.73,3.0,4.4,3.44,2.76,3.05,3.74
e_0,1.67,1.12,1.43,1.6,1.46,1.29,2.56,3.11,2.19,2.83,2.81,2.52,4.16,2.84,3.65,5.22
