,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,23.76,0.42,0.36,0.33,0.3,0.44,0.62,0.65,1.46,0.71,0.72,0.6,0.82,0.69,0.21,1.07
f_1,0.66,25.8,0.41,0.28,0.33,0.28,0.54,0.65,0.86,0.82,0.86,0.11,0.56,0.92,0.61,0.57
c_1,0.28,0.32,27.54,0.33,0.64,0.32,0.73,0.73,0.82,0.6,0.12,1.09,0.84,0.88,0.73,0.9
d_1,0.27,0.3,0.27,28.93,0.37,0.35,0.89,0.88,0.24,1.09,1.68,0.87,0.56,0.67,1.01,0.63
b_1,0.31,0.37,0.36,0.3,30.9,0.73,0.79,0.54,0.66,0.15,0.9,0.68,0.69,1.04,0.72,1.06
a_1,0.34,0.38,0.34,0.34,0.31,41.56,1.03,0.75,0.8,0.7,0.65,0.76,0.3,0.94,0.66,0.83
h_1,0.55,0.94,0.44,0.78,0.66,0.46,9.66,1.88,1.18,1.44,1.2,1.3,1.47,0.55,2.25,2.03
g_1,0.52,0.56,0.62,1.22,0.58,0.51,1.19,12.39,0.98,1.38,1.24,2.7,0.75,1.47,1.44,0.58
d_0,0.62,0.66,1.54,0.17,0.73,0.56,1.02,1.17,5.68,1.8,1.13,1.51,1.49,1.87,1.83,1.4
b_0,0.75,0.62,0.69,0.87,0.17,0.44,1.48,1.38,1.12,6.02,2.02,2.02,4.57,1.96,1.84,1.92
c_0,0.76,0.68,0.23,0.73,0.46,0.7,1.71,1.28,1.58,4.08,5.58,1.67,2.22,2.05,1.94,1.56
f_0,0.53,0.2,0.82,0.7,0.9,0.48,1.37,1.53,1.69,1.65,1.31,7.98,1.88,1.79,4.01,1.8
a_0,0.6,0.64,0.79,0.85,0.77,0.18,1.14,1.03,1.74,1.58,1.47,1.46,8.39,2.34,1.56,2.07
h_0,0.66,1.08,0.71,0.72,0.61,0.5,0.45,1.72,1.14,1.31,1.08,1.24,1.66,0.36,1.16,1.65
e_0,0.27,0.82,0.72,0.77,0.6,0.57,1.5,1.3,1.52,1.97,1.49,2.41,2.18,2.48,9.02,1.91
g_0,0.72,0.48,0.58,1.33,0.44,0.6,1.07,0.52,0.97,1.99,1.36,2.74,1.82,1.57,1.61,0.79
