,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.92,1.19,1.02,0.91,0.77,0.59,0.57,0.63,0.64,0.58,0.56,0.55,0.54,0.55,0.5
d_1,1.08,1.0,1.0,0.86,0.95,0.8,0.75,0.57,0.83,0.73,0.64,0.66,0.57,0.64,0.54,0.56
e_1,0.84,1.0,1.0,1.11,0.97,0.8,0.75,0.78,0.69,0.91,0.66,0.71,0.65,0.55,0.63,0.52
c_1,0.97,1.15,0.91,1.0,1.31,0.96,0.72,0.67,0.58,0.46,0.48,0.61,0.56,0.51,0.56,0.6
b_1,1.1,1.05,1.03,0.78,1.0,1.38,0.79,0.72,0.67,0.66,0.69,0.62,0.64,0.58,0.62,0.64
a_1,1.3,1.24,1.25,1.04,0.72,1.0,0.87,0.87,0.7,0.72,0.97,0.65,0.69,0.8,0.67,0.52
h_1,1.68,1.33,1.36,1.35,1.25,1.15,1.0,1.04,0.92,0.86,0.89,0.84,0.8,0.75,0.86,0.74
g_1,1.69,1.77,1.34,1.45,1.41,1.16,0.96,1.0,0.92,0.77,0.89,1.04,0.85,0.84,0.79,0.89
c_0,1.6,1.22,1.46,1.79,1.36,1.42,1.12,1.11,1.0,1.09,1.39,1.02,0.92,0.92,0.8,0.94
d_0,1.52,1.34,1.07,2.28,1.56,1.39,1.18,1.3,0.86,1.0,0.97,0.98,0.9,0.83,0.93,0.95
b_0,1.76,1.56,1.46,2.06,1.44,1.11,1.14,1.04,0.72,1.02,1.0,0.97,1.01,1.43,0.97,0.93
f_0,1.7,1.62,1.43,1.69,1.48,1.54,1.19,0.95,0.97,1.03,0.96,1.0,1.02,0.84,0.78,1.3
h_0,1.82,1.71,1.55,1.77,1.61,1.36,1.25,1.21,1.08,1.11,1.05,0.98,1.0,0.85,1.17,0.87
a_0,1.87,1.63,1.7,1.88,1.79,1.3,1.26,1.17,1.04,1.23,0.7,1.13,1.16,1.0,1.0,1.15
g_0,1.83,1.84,1.58,1.75,1.71,1.43,1.15,1.28,1.19,1.12,0.99,1.31,0.87,1.0,1.0,1.05
e_0,2.08,1.9,1.88,1.73,1.57,1.68,1.37,1.12,1.03,1.01,1.14,0.76,1.08,0.94,0.93,1.0
