,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,0.36,0.77,0.71,0.73,0.57,0.23,0.22,0.18,0.15,0.17,0.16,0.15,0.11,0.29,0.11
f_1,0.62,0.16,0.65,0.75,0.58,0.65,0.13,0.2,0.12,0.12,0.25,0.12,0.11,0.06,0.11,0.12
d_1,0.71,0.78,0.16,0.67,0.72,0.63,0.18,0.13,0.11,0.28,0.11,0.12,0.12,0.09,0.15,0.06
c_1,0.56,0.62,0.87,0.14,0.61,0.76,0.18,0.16,0.2,0.08,0.12,0.12,0.14,0.11,0.13,0.09
b_1,0.63,0.79,0.68,0.34,0.13,0.77,0.22,0.19,0.19,0.15,0.16,0.4,0.18,0.11,0.12,0.12
a_1,0.67,0.7,0.63,0.73,0.35,0.09,0.21,0.24,0.15,0.21,0.15,0.17,0.37,0.1,0.15,0.13
h_1,0.5,0.58,0.44,0.5,0.54,0.47,0.06,0.2,0.11,0.12,0.11,0.1,0.11,0.13,0.1,0.08
g_1,0.5,0.59,0.52,0.52,0.51,0.48,0.12,0.05,0.12,0.1,0.12,0.11,0.11,0.06,0.13,0.11
c_0,0.49,0.63,0.27,1.33,0.62,0.49,0.16,0.15,0.06,0.14,0.1,0.12,0.14,0.09,0.11,0.08
d_0,0.31,0.52,0.78,0.55,0.6,0.47,0.16,0.17,0.12,0.06,0.1,0.11,0.12,0.09,0.11,0.08
f_0,0.53,1.06,0.46,0.52,0.56,0.44,0.16,0.1,0.1,0.11,0.05,0.09,0.11,0.08,0.09,0.04
b_0,0.53,0.56,0.39,0.77,1.22,0.5,0.12,0.16,0.05,0.11,0.11,0.05,0.1,0.08,0.08,0.07
a_0,0.54,0.51,0.49,0.54,0.76,0.79,0.15,0.17,0.09,0.1,0.11,0.05,0.04,0.08,0.07,0.07
h_0,0.49,0.57,0.56,0.55,0.47,0.38,0.2,0.13,0.09,0.1,0.11,0.1,0.1,0.11,0.09,0.08
e_0,0.85,0.69,0.42,0.55,0.6,0.4,0.13,0.18,0.1,0.09,0.05,0.09,0.11,0.08,0.04,0.06
g_0,0.49,0.61,0.47,0.56,0.55,0.49,0.11,0.18,0.09,0.12,0.11,0.09,0.11,0.06,0.09,0.1
