,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.15,0.84,0.93,0.89,0.8,0.95,0.7,0.69,0.69,0.73,0.6,0.64,0.89,0.64
f_1,1.29,1.0,1.05,1.08,0.78,0.74,0.57,0.6,0.58,0.78,0.61,0.6,0.51,0.64,0.4,0.6
c_1,0.87,0.95,1.0,1.07,1.38,0.82,0.71,0.5,0.49,0.63,0.48,0.59,0.58,0.55,0.55,0.61
d_1,1.19,0.92,0.94,1.0,1.07,0.78,0.67,0.69,0.87,0.55,0.67,0.65,0.59,0.49,0.54,0.45
b_1,1.07,1.3,0.72,0.93,1.0,1.56,0.77,0.68,0.89,0.78,0.62,0.61,0.64,0.55,0.55,0.56
a_1,1.12,1.35,1.23,1.27,0.65,1.0,0.97,0.8,0.64,0.73,0.85,0.76,0.71,0.59,0.78,0.7
h_1,1.29,1.65,1.41,1.46,1.27,1.0,1.0,0.9,0.91,1.21,0.89,0.84,0.87,0.73,0.82,0.91
d_0,1.03,1.64,2.07,1.5,1.49,1.33,1.09,1.0,0.86,0.99,1.0,0.95,0.97,0.76,0.92,1.07
c_0,1.41,1.77,1.9,1.1,1.06,1.53,1.11,1.12,1.0,1.0,1.25,0.91,1.05,1.01,0.94,0.89
g_1,1.46,1.31,1.65,1.8,1.25,1.35,0.83,0.99,1.0,1.0,0.98,1.13,0.79,0.7,0.82,0.7
b_0,1.47,1.67,2.08,1.42,1.63,1.16,1.08,1.06,0.77,1.02,1.0,0.91,0.91,1.31,0.89,0.9
f_0,1.33,1.69,1.66,1.57,1.68,1.26,1.22,1.02,1.03,0.86,1.07,1.0,1.06,0.99,1.29,0.7
h_0,1.56,2.02,1.79,1.66,1.56,1.43,1.18,1.04,0.93,1.28,1.08,0.99,1.0,0.83,0.97,1.18
a_0,1.56,1.59,1.65,2.03,1.88,1.64,1.46,1.28,1.0,1.4,0.78,1.08,1.23,1.0,0.98,1.0
e_0,1.16,2.51,1.76,1.86,1.85,1.34,1.23,1.04,1.08,1.14,1.16,0.78,1.05,1.07,1.0,0.96
g_0,1.53,1.62,1.68,2.3,1.8,1.48,1.14,0.92,1.08,1.48,1.13,1.34,0.8,1.04,1.15,1.0
