,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.32,0.74,1.47,0.79,0.69,0.47,1.52,1.84,1.3,1.46,1.7,0.91,2.06,1.24,0.83,1.53
d_1,0.99,2.41,0.81,0.61,0.75,0.66,1.56,1.14,1.51,3.11,1.79,1.54,2.19,1.65,1.51,1.96
e_1,0.93,0.76,2.39,1.07,0.67,0.61,1.4,3.04,1.28,1.61,1.85,1.81,2.15,1.37,1.12,1.88
c_1,0.84,0.84,0.72,2.49,1.33,0.72,1.29,1.62,1.21,0.87,1.33,1.41,2.11,1.36,1.17,2.02
b_1,0.76,0.94,0.77,0.72,2.61,1.36,1.5,1.5,1.27,1.52,0.88,1.61,2.1,0.92,1.25,2.07
a_1,0.98,0.9,0.81,0.7,0.9,3.02,1.59,1.74,1.46,1.66,1.56,1.66,2.18,1.01,1.53,1.62
h_1,1.23,0.91,0.93,1.03,0.69,0.69,3.35,1.75,2.09,1.56,1.84,1.74,1.6,1.4,1.47,2.86
d_0,0.92,0.69,0.77,1.74,0.86,0.72,1.58,2.88,1.29,1.13,1.99,1.89,2.34,1.57,1.58,2.01
g_1,0.82,1.42,0.77,1.02,0.72,0.67,1.75,1.55,3.56,1.71,1.85,2.53,2.29,1.83,1.71,1.77
c_0,0.97,0.88,1.04,0.81,0.6,0.78,1.79,2.25,1.45,3.17,3.8,2.11,2.53,2.02,1.84,2.51
b_0,0.98,1.03,0.91,1.09,0.52,0.6,1.87,1.92,1.61,1.87,3.24,1.8,2.84,3.42,1.98,2.35
f_0,0.77,0.95,0.68,1.02,0.96,0.83,1.74,1.92,1.68,2.03,1.89,3.28,2.37,1.74,3.39,2.18
h_0,1.36,0.94,0.97,0.93,0.74,0.57,1.26,1.86,2.1,1.73,1.8,1.58,1.88,1.56,1.68,2.77
a_0,0.9,1.04,0.87,1.0,0.77,0.53,2.06,2.09,1.37,2.13,1.95,2.11,2.84,3.41,1.61,2.54
e_0,1.13,0.89,0.54,1.12,0.91,0.76,1.95,1.94,1.69,1.85,1.98,1.69,3.22,2.07,3.66,2.14
g_0,0.88,1.27,0.72,0.91,0.77,0.8,1.61,1.81,1.09,1.86,1.82,2.78,2.1,1.71,2.07,1.48
