,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.91,1.3,1.36,1.22,1.15,0.65,0.59,0.48,0.55,0.48,0.56,0.48,0.43,0.63,0.45
f_1,1.45,0.66,1.17,1.35,1.23,1.09,0.44,0.59,0.43,0.49,0.44,0.57,0.42,0.28,0.3,0.37
d_1,1.38,1.34,0.65,1.18,1.21,1.24,0.58,0.45,0.53,0.7,0.49,0.45,0.4,0.35,0.5,0.28
c_1,1.14,1.35,1.8,0.63,1.72,1.2,0.63,0.57,0.56,0.3,0.49,0.44,0.47,0.39,0.48,0.39
b_1,1.52,1.48,1.41,0.88,0.62,1.68,0.83,0.77,0.57,0.58,0.68,0.52,0.5,0.45,0.54,0.4
a_1,1.77,1.82,1.68,1.69,0.92,0.56,0.83,0.86,0.81,0.77,0.76,0.63,0.97,0.65,0.51,0.63
h_1,1.89,2.3,1.88,1.99,1.67,1.6,0.58,1.01,0.71,0.76,0.62,0.61,0.63,0.67,0.62,0.53
g_1,1.99,2.16,2.15,2.27,1.86,1.72,0.71,0.56,0.74,0.77,0.69,0.84,0.66,0.52,0.81,0.65
c_0,2.33,2.65,1.4,4.2,2.12,1.65,0.99,0.95,0.6,1.13,1.04,0.78,0.71,0.7,0.82,0.59
d_0,1.41,2.2,3.11,2.82,2.28,1.96,1.12,0.96,0.84,0.6,0.87,0.79,0.85,0.68,0.87,0.79
b_0,2.06,2.43,2.23,2.58,3.49,1.78,1.15,1.04,0.53,0.82,0.6,0.66,0.98,0.72,0.78,0.61
f_0,2.03,3.35,2.44,2.43,2.33,2.11,1.03,0.78,0.79,0.89,0.98,0.6,0.82,0.77,1.27,0.51
a_0,2.46,2.81,2.45,2.63,3.53,2.74,1.14,1.28,0.89,0.96,0.5,0.85,0.58,0.7,0.92,0.52
h_0,2.43,3.08,2.64,2.86,2.4,1.94,1.57,1.19,0.9,0.92,0.8,0.76,0.78,0.96,0.79,0.73
e_0,3.23,4.21,2.35,2.71,2.85,2.85,1.32,1.01,0.93,1.06,0.93,0.48,0.84,0.71,0.54,0.8
g_0,3.08,3.08,2.94,2.68,2.85,2.25,1.17,1.48,1.02,0.97,0.95,0.99,1.14,0.72,0.8,0.96
