,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,6.02,2.34,1.83,1.66,2.26,2.44,8.65,8.63,6.87,19.42,12.86,12.04,16.8,13.06,17.28,13.29
f_1,2.03,6.11,3.73,2.17,1.87,1.77,7.96,7.88,9.91,9.68,9.58,5.87,16.52,10.56,16.43,7.05
e_1,1.89,2.33,6.12,2.59,2.43,2.26,8.59,7.88,18.21,10.53,11.32,10.52,14.05,10.69,14.75,7.65
c_1,2.09,1.99,2.0,7.3,4.19,1.86,8.31,8.76,9.21,4.87,6.78,12.34,16.83,10.82,14.56,10.72
b_1,2.19,2.18,2.15,2.34,7.77,4.51,6.59,6.4,9.53,9.2,6.34,10.9,14.11,9.41,16.57,11.48
a_1,2.47,2.13,2.03,2.43,2.25,10.97,9.0,8.68,9.99,9.96,11.33,11.03,16.97,7.76,17.77,12.89
h_1,2.6,3.27,2.36,2.62,2.11,2.04,17.47,11.94,9.63,10.92,9.24,10.22,12.26,11.92,19.68,12.97
g_1,3.63,2.33,2.08,2.36,2.28,1.95,8.42,20.22,9.72,12.13,10.79,17.34,16.45,11.23,11.05,15.98
d_0,1.73,2.52,2.36,4.78,2.4,2.02,9.42,8.45,17.54,8.62,11.26,9.58,16.92,10.0,15.44,13.81
c_0,2.81,2.85,2.27,1.77,1.94,2.47,10.75,8.96,11.56,18.13,21.62,11.94,19.37,15.62,16.83,16.96
b_0,2.95,2.82,2.3,2.53,1.45,2.27,10.27,8.99,10.24,10.72,19.48,11.81,18.78,23.26,20.24,12.55
f_0,2.79,2.0,2.09,2.34,2.29,2.77,9.5,8.99,11.93,12.7,12.48,23.25,16.97,13.82,18.58,30.25
h_0,2.82,3.49,2.51,2.25,2.1,2.16,5.42,11.28,9.89,10.36,12.86,12.25,14.67,12.71,22.98,11.31
a_0,2.57,2.88,2.29,2.69,2.39,1.25,9.92,9.08,13.18,12.51,13.46,11.44,20.44,26.35,18.63,12.96
g_0,3.61,2.2,2.17,2.43,2.3,2.34,7.97,6.63,9.72,11.98,12.3,18.71,17.19,13.38,14.98,14.68
e_0,2.84,2.83,1.95,2.39,2.6,2.46,9.83,9.8,10.13,10.43,13.58,12.5,20.66,13.65,16.29,28.52
