,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.07,3.15,3.6,3.16,4.14,2.04,1.46,1.37,0.61,1.5,1.15,0.96,0.78,0.87,0.73,0.66
f_1,3.39,1.07,3.48,3.85,2.89,2.83,0.92,1.57,0.95,0.92,1.57,0.82,0.6,0.69,0.76,0.89
d_1,3.82,3.05,1.07,3.91,4.03,3.19,1.26,0.88,2.11,1.09,0.86,0.99,0.85,1.07,0.75,0.5
e_1,3.51,2.3,4.1,1.07,3.38,3.38,1.38,1.27,1.19,1.06,1.06,0.96,0.86,3.09,0.87,0.81
b_1,2.19,4.4,3.6,3.69,1.07,4.36,1.89,1.52,1.34,1.35,0.97,2.76,0.75,0.87,1.13,0.77
a_1,8.3,7.19,5.75,4.97,2.73,1.07,1.67,2.16,1.62,1.69,1.23,1.72,1.13,1.65,2.63,1.28
h_1,6.55,7.91,6.78,7.79,5.92,6.71,1.38,2.64,2.69,2.15,2.14,2.34,3.05,1.29,1.73,1.9
g_1,8.54,7.51,8.48,8.19,8.72,6.39,2.85,1.38,2.41,2.25,2.93,2.06,1.3,2.44,2.64,2.72
d_0,10.93,11.34,13.52,4.87,8.01,6.79,3.58,3.33,1.66,2.46,3.1,2.13,1.85,2.5,2.5,2.02
c_0,20.61,10.34,5.61,9.55,9.01,7.85,3.48,3.28,3.22,1.62,2.55,2.92,2.38,2.93,3.18,2.28
f_0,9.43,21.8,9.93,9.56,9.75,9.81,3.52,2.41,3.28,2.73,1.63,3.09,2.42,3.14,3.48,1.79
b_0,12.38,10.17,8.39,9.89,17.74,10.01,3.59,4.06,3.05,1.81,2.36,1.65,2.36,2.58,4.92,2.16
h_0,12.51,14.35,12.8,10.65,13.23,11.4,8.24,5.67,4.26,3.62,4.24,3.26,4.13,3.04,3.66,3.0
e_0,13.16,23.6,10.27,,13.3,8.42,5.9,3.6,3.97,3.03,2.26,3.4,3.71,1.61,3.48,3.17
a_0,16.19,13.26,13.65,13.45,12.88,,5.16,4.18,4.06,3.03,3.52,1.94,2.59,3.01,1.7,3.03
g_0,15.28,15.15,15.16,11.15,15.77,10.7,4.34,7.03,4.35,3.27,4.29,3.63,2.59,3.36,3.1,4.52
