,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.95,1.25,1.03,0.89,1.08,1.01,0.93,1.41,1.15,1.14,1.09,1.25,1.21,1.14
f_1,1.3,1.0,0.9,0.92,0.93,0.95,0.8,1.05,0.99,0.95,0.88,1.03,0.92,0.85,1.05,0.88
d_1,1.06,1.11,1.0,0.97,0.98,0.9,1.03,0.8,1.23,1.02,1.0,0.99,1.0,0.97,0.8,0.85
c_1,0.79,1.09,1.04,1.0,1.42,1.0,1.0,1.04,0.85,0.7,0.86,0.84,1.0,0.85,0.98,0.98
b_1,0.96,1.07,1.01,0.71,1.0,1.39,1.18,1.25,1.08,0.95,1.02,0.87,1.03,1.13,1.03,1.03
a_1,1.13,1.05,1.12,1.0,0.71,1.0,1.13,1.0,1.03,0.94,1.07,1.09,1.04,0.97,1.08,1.0
h_1,0.93,1.24,0.98,1.0,0.85,0.9,1.0,1.17,0.98,1.1,0.92,0.95,1.02,1.04,1.05,0.85
g_1,0.97,0.94,1.22,1.01,0.83,0.97,0.86,1.0,0.97,0.92,1.28,0.98,0.78,1.0,1.03,1.02
c_0,1.07,0.99,0.84,1.1,0.91,1.0,1.02,1.03,1.0,1.25,1.11,1.38,1.02,1.04,1.02,1.32
d_0,0.73,1.05,0.95,1.43,1.07,1.0,0.9,1.06,0.8,1.0,0.97,0.96,0.99,1.05,1.14,1.05
f_0,0.86,1.08,1.01,1.15,1.04,0.91,1.09,0.76,0.89,1.06,1.0,1.05,1.01,1.42,0.82,0.98
b_0,0.9,0.99,1.04,1.18,1.15,0.88,1.03,1.04,0.73,1.07,0.98,1.0,1.03,1.08,1.08,1.53
h_0,0.93,1.1,0.98,0.98,0.97,0.91,1.0,1.28,0.98,1.01,0.95,0.98,1.0,0.84,1.2,0.98
e_0,0.85,1.26,1.02,1.14,0.82,1.07,0.95,1.0,0.88,0.94,0.71,0.94,1.17,1.0,0.84,0.98
g_0,0.83,0.96,1.25,1.01,0.94,0.94,0.98,0.97,0.96,0.92,1.22,0.92,0.83,1.12,1.0,0.99
a_0,0.89,1.1,1.13,1.02,1.06,1.06,1.16,0.95,0.77,1.06,1.04,0.65,0.99,1.03,1.04,1.0
