,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.79,0.9,1.16,0.95,1.09,0.97,1.36,1.14,0.92,0.89,0.91,1.01,,0.93,1.1
f_1,1.26,1.0,0.98,1.14,1.18,1.09,0.88,0.93,1.0,0.96,1.01,,0.87,0.86,0.89,0.87
d_1,1.11,1.02,1.0,0.86,1.16,0.84,1.0,,0.74,1.3,1.07,1.18,0.93,1.16,0.92,0.66
c_1,0.86,0.88,1.17,1.0,1.27,1.25,1.03,0.59,1.07,,1.07,1.34,1.15,0.94,1.2,0.96
b_1,1.05,0.85,0.86,0.79,1.0,1.61,0.94,1.1,0.96,0.78,,1.21,1.56,1.07,,0.82
a_1,0.92,0.92,1.19,0.8,0.62,1.0,0.94,1.22,,1.35,1.09,0.82,1.1,,,
h_1,1.03,1.14,1.0,0.97,1.06,1.06,1.0,1.08,1.22,0.85,0.98,0.68,,0.9,0.78,1.24
d_0,0.74,1.07,,1.7,0.91,0.82,0.93,1.0,1.04,1.04,1.0,1.18,0.81,0.83,1.36,0.95
g_1,0.88,1.0,1.35,0.94,1.04,,0.82,0.96,1.0,0.98,0.93,1.02,0.84,1.15,1.21,
c_0,1.09,1.04,0.77,,1.27,0.74,1.17,0.96,1.02,1.0,1.37,0.87,1.01,1.0,,1.02
b_0,1.12,0.99,0.94,0.94,,0.92,1.02,1.0,1.08,0.73,1.0,0.88,1.07,1.06,1.36,1.1
f_0,1.1,,0.85,0.75,0.83,1.22,1.48,0.85,0.98,1.15,1.13,1.0,1.04,1.12,,0.98
h_0,0.99,1.15,1.07,0.87,0.64,0.91,,1.23,1.19,0.99,0.94,0.96,,0.95,0.94,1.06
e_0,,1.16,0.86,1.06,0.94,,1.11,1.21,0.87,1.0,0.94,0.89,1.06,1.0,,1.11
a_0,1.08,1.12,1.08,0.83,,,1.28,0.73,0.83,,0.74,,1.07,,1.0,
g_0,0.91,1.15,1.51,1.04,1.22,,0.81,1.05,,0.98,0.91,1.02,0.94,0.9,,
