,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,96.81,68.56,72.22,142.46,161.0,431.5,9903.71,15624.52,27492.5,44668.68,44550.44,47012.28,95475.52,134538.94,106610.51,239515.86
f_1,81.53,116.0,64.2,118.83,129.08,361.45,7775.45,12353.69,20568.89,26695.57,29501.45,39379.0,85043.51,100252.54,91092.53,191579.37
d_1,53.77,70.88,119.95,90.31,139.26,417.26,9587.78,12660.82,35709.38,22427.24,42017.99,49295.84,88060.83,110377.23,134702.22,209035.58
c_1,41.52,54.67,65.87,171.69,196.4,330.95,7657.06,10911.85,12280.56,19223.98,34509.68,24834.17,73173.15,99288.82,107320.7,172122.43
b_1,39.41,60.47,57.12,79.84,211.96,508.84,6848.28,11050.59,18306.09,19095.38,33879.56,22082.18,53312.49,98173.75,86476.67,157336.81
a_1,34.26,41.43,40.94,63.03,59.93,490.06,5435.81,8316.59,14039.62,18356.81,24752.24,25958.9,44047.4,78497.01,88281.37,133058.03
h_1,13.33,22.93,17.89,29.89,35.75,98.71,3144.24,4332.26,5754.48,6923.58,9379.89,11502.38,20734.6,27349.57,31876.63,67233.26
g_1,11.42,15.3,21.0,26.65,32.96,73.25,1595.11,4485.73,5404.57,5462.97,12096.51,8948.05,17477.91,26565.72,27074.19,44863.54
c_0,10.24,15.69,13.8,22.59,23.06,72.15,1840.98,2611.52,5994.17,5583.82,8174.85,13594.01,20289.91,25995.6,29842.1,46227.19
d_0,8.44,13.16,11.48,33.44,29.43,51.72,1571.62,2631.06,3489.36,6440.06,6950.46,7254.6,17233.2,24961.04,26125.62,35162.45
f_0,7.64,11.22,12.63,19.86,21.87,62.91,1528.32,2017.94,4282.29,4969.38,9200.53,7063.55,15087.73,19744.64,36113.37,34926.04
b_0,8.7,12.77,11.05,22.71,19.08,52.06,1404.43,2265.29,3378.87,4791.29,7220.71,9260.01,23793.34,21037.69,20545.71,40547.47
a_0,6.62,10.06,9.66,15.22,18.04,37.64,1267.01,1886.34,2885.92,3319.09,5456.84,4284.18,16756.48,15978.96,14042.85,27086.94
h_0,6.47,11.25,9.47,12.45,15.95,46.71,889.27,1949.8,2756.63,2959.25,4661.02,4515.2,10243.93,13204.08,12907.71,32884.42
e_0,5.83,9.75,8.09,12.56,17.96,35.36,1043.89,1489.76,2655.71,2950.06,4265.39,5209.84,11533.54,13527.95,21054.86,25123.9
g_0,5.13,6.56,9.84,11.29,13.59,36.95,784.9,1145.16,2266.83,2551.01,5559.38,4385.55,9409.36,10668.93,13235.27,19960.73
