,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.02,0.86,0.77,0.91,0.83,0.79,0.94,0.55,0.85,0.73,0.57,0.57,0.54,0.48,0.68
f_1,0.98,1.0,1.32,0.88,0.87,0.7,0.64,0.62,0.72,0.71,0.62,0.47,0.49,0.56,0.52,0.49
e_1,1.17,0.76,1.0,1.03,0.99,0.95,0.68,0.65,0.6,0.85,0.68,0.76,0.6,0.57,0.61,0.59
c_1,1.3,1.13,0.97,1.0,1.5,0.81,0.58,0.44,0.63,0.48,0.5,0.57,0.68,0.58,0.62,0.69
b_1,1.1,1.14,1.01,0.67,1.0,1.52,0.88,0.74,0.72,0.62,0.97,0.76,0.71,0.53,0.66,0.58
a_1,1.21,1.42,1.05,1.23,0.66,1.0,0.89,0.86,0.8,0.74,0.9,0.85,0.83,0.7,0.79,0.54
h_1,1.29,1.55,1.47,1.71,1.16,1.11,1.0,0.85,1.24,0.87,0.83,0.91,0.89,0.75,0.99,0.68
c_0,1.09,1.52,1.66,2.08,1.32,1.26,1.16,1.0,1.2,1.13,1.35,0.93,1.05,1.12,1.12,0.86
g_1,1.77,1.47,1.57,1.64,1.37,1.2,0.82,0.89,1.0,0.79,0.88,0.97,0.82,0.86,0.8,0.72
d_0,1.12,1.42,1.15,2.19,1.64,1.31,1.1,0.9,1.2,1.0,1.06,0.81,0.9,0.83,0.72,0.68
b_0,1.3,1.67,1.47,2.11,1.05,1.19,1.24,0.76,1.11,0.88,1.0,1.16,1.04,1.38,0.98,0.87
f_0,1.73,2.04,1.27,1.84,1.29,1.17,1.08,1.09,1.08,1.18,0.91,1.0,0.99,1.04,0.76,1.25
h_0,1.67,2.03,1.62,1.55,1.47,1.18,1.13,0.97,1.25,1.12,0.91,1.03,1.0,0.94,1.14,0.9
a_0,1.7,1.83,1.74,1.96,1.83,,1.38,0.94,1.12,1.38,0.73,1.04,1.06,1.0,1.06,0.98
g_0,1.96,1.75,1.58,1.68,1.49,1.23,1.03,0.91,1.29,1.25,0.95,1.3,0.84,0.93,1.0,1.07
e_0,1.57,2.15,1.97,1.5,1.6,1.82,1.49,1.17,1.37,1.4,1.11,0.76,1.07,1.11,0.89,1.0
