,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,1.64,1.42,2.09,4.15,24.56,38.83,36.53,57.91,63.36,82.53,99.03,103.75,130.08,174.93
f_1,1.2,1.0,1.34,1.48,1.83,3.35,18.94,32.27,36.49,53.83,57.07,61.9,82.12,101.96,97.09,145.91
c_1,0.61,0.74,1.0,1.39,1.9,2.95,18.16,16.64,27.22,34.71,42.26,50.33,71.14,66.92,86.88,106.1
d_1,0.7,0.66,0.71,1.0,1.2,2.66,14.79,19.04,32.95,41.11,32.56,47.09,60.51,63.07,66.63,78.3
b_1,0.47,0.54,0.54,0.82,1.0,3.11,13.12,15.08,23.1,32.71,31.26,38.24,51.54,51.85,58.91,67.84
a_1,0.24,0.29,0.33,0.37,0.34,1.0,6.47,7.52,11.56,17.82,16.08,17.29,29.3,28.99,29.5,40.99
h_1,0.04,0.05,0.05,0.07,0.08,0.15,1.0,1.17,1.74,2.41,2.85,3.15,3.91,4.14,4.97,6.83
d_0,0.03,0.03,0.06,0.05,0.07,0.13,0.86,1.0,1.1,1.79,2.32,2.34,3.3,3.22,4.24,5.59
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.55,0.89,1.0,1.74,1.54,1.85,2.61,2.72,2.68,3.33
b_0,0.02,0.02,0.03,0.02,0.03,0.05,0.43,0.55,0.58,1.0,1.13,1.22,1.74,2.51,2.05,2.81
g_1,0.02,0.02,0.02,0.03,0.03,0.06,0.37,0.46,0.64,0.9,1.0,1.31,1.34,1.68,1.86,2.37
f_0,0.01,0.02,0.02,0.02,0.03,0.06,0.34,0.43,0.55,0.79,0.78,1.0,1.42,1.32,2.27,1.64
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.29,0.39,0.61,0.72,0.69,1.0,1.11,1.07,1.7
a_0,0.01,0.01,0.02,0.02,0.02,0.03,0.25,0.32,0.35,0.39,0.61,0.71,0.91,1.0,1.2,1.5
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.25,0.38,0.51,0.57,0.46,0.95,0.91,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.19,0.28,0.36,0.42,0.6,0.58,0.68,0.78,1.0
