,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.16,0.68,0.39,0.67,0.71,0.65,0.19,0.24,0.16,0.14,0.16,0.17,0.13,0.15,0.32,0.11
d_1,0.83,0.16,0.73,0.66,0.65,0.54,0.21,0.12,0.26,0.12,0.12,0.12,0.08,0.14,0.11,0.07
f_1,0.65,0.6,0.16,0.57,0.67,0.7,0.13,0.19,0.12,0.12,0.12,0.25,0.07,0.14,0.11,0.11
c_1,0.54,0.85,0.61,0.15,0.67,0.66,0.19,0.18,0.07,0.23,0.13,0.12,0.09,0.1,0.12,0.08
b_1,0.65,0.69,0.68,0.36,0.14,0.7,0.26,0.2,0.16,0.18,0.29,0.17,0.1,0.13,0.15,0.11
a_1,0.67,0.69,0.77,0.93,0.32,0.1,0.17,0.25,0.17,0.14,0.17,0.13,0.13,0.24,0.18,0.1
h_1,0.49,0.49,0.66,0.6,0.42,0.48,0.06,0.14,0.12,0.1,0.11,0.11,0.12,0.09,0.09,0.08
g_1,0.6,0.5,0.6,0.56,0.53,0.45,0.11,0.05,0.12,0.1,0.11,0.11,0.06,0.09,0.11,0.13
d_0,0.27,0.97,0.58,0.53,0.62,0.53,0.16,0.21,0.06,0.12,0.12,0.1,0.08,0.11,0.11,0.08
c_0,0.53,0.29,0.53,1.14,0.61,0.53,0.15,0.13,0.16,0.06,0.11,0.12,0.09,0.11,0.11,0.08
b_0,0.47,0.43,0.53,0.88,1.09,0.51,0.13,0.14,0.11,0.05,0.06,0.1,0.07,0.08,0.09,0.07
f_0,0.54,0.46,0.82,0.65,0.6,0.38,0.16,0.1,0.12,0.1,0.11,0.05,0.08,0.08,0.09,0.04
h_0,0.51,0.58,0.46,0.5,0.57,0.44,0.22,0.15,0.11,0.1,0.1,0.08,0.12,0.09,0.08,0.07
a_0,0.5,0.43,0.52,0.51,0.86,0.91,0.15,0.18,0.12,0.09,0.06,0.11,0.09,0.04,0.09,0.06
e_0,0.74,0.51,0.66,0.52,0.64,0.52,0.17,0.14,0.1,0.1,0.11,0.05,0.07,0.08,0.04,0.06
g_0,0.56,0.49,0.45,0.56,0.51,0.44,0.11,0.22,0.13,0.11,0.11,0.11,0.05,0.1,0.1,0.12
