,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,0.97,1.42,1.77,3.47,16.98,24.7,31.16,32.65,39.59,50.21,68.11,88.64,77.65,172.37
e_1,0.76,1.0,1.02,1.53,2.04,3.67,20.46,27.36,41.86,35.97,53.09,54.3,89.54,97.16,106.01,172.08
d_1,1.02,0.99,1.0,1.23,1.64,3.35,18.06,20.54,31.54,42.99,37.79,42.49,83.57,77.82,94.85,123.32
c_1,0.7,0.66,0.81,1.0,1.82,2.62,13.41,17.89,14.5,16.63,29.17,25.67,56.37,61.56,64.9,103.96
b_1,0.56,0.48,0.6,0.56,1.0,3.0,12.16,14.01,16.48,18.45,20.71,24.4,50.86,37.19,47.39,78.18
a_1,0.29,0.28,0.29,0.38,0.33,1.0,5.21,6.6,6.43,10.33,11.71,13.99,24.54,21.24,22.63,41.09
h_1,0.06,0.05,0.06,0.08,0.08,0.19,1.0,1.44,1.59,1.47,1.86,2.25,4.11,4.14,4.0,9.55
g_1,0.04,0.04,0.05,0.06,0.07,0.14,0.71,1.0,1.09,1.43,2.02,1.71,2.55,3.87,3.74,5.56
d_0,0.03,0.02,0.03,0.07,0.06,0.16,0.65,0.95,1.0,0.95,1.49,1.38,2.74,3.13,2.36,5.77
c_0,0.03,0.03,0.02,0.05,0.05,0.1,0.68,0.71,1.0,1.0,1.12,2.01,2.51,3.05,2.91,4.3
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.54,0.5,0.64,0.88,1.0,0.94,2.1,1.95,3.0,3.22
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.44,0.55,0.69,0.51,1.07,1.0,1.87,3.07,1.74,3.5
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.4,0.36,0.39,0.49,0.55,1.0,1.02,0.88,2.31
a_0,0.01,0.01,0.01,0.02,0.03,0.04,0.24,0.26,0.31,0.33,0.52,0.35,0.97,1.0,1.04,1.91
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.25,0.25,0.43,0.35,0.35,0.57,1.17,1.0,1.0,1.46
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.1,0.18,0.18,0.23,0.31,0.28,0.44,0.54,0.64,1.0
