,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10359.78,96.66,168.66,263.55,452.35,1098.05,206561.3,871313.04,353689.24,673821.45,1323527.87,1749126.49,6635011.02,6155987.63,,10181096.89
d_1,123.44,13367.05,211.97,201.04,461.95,1421.97,167532.49,,372144.36,1072117.17,1139390.26,2096004.26,5784438.26,5937433.6,9448217.74,15854256.27
f_1,210.25,162.68,14886.62,240.88,429.18,1816.52,143449.55,557089.47,288520.26,600854.98,1595697.81,,7134629.49,7171163.44,8046533.72,12699374.65
c_1,142.56,169.33,161.8,20941.74,857.68,2139.2,188251.77,515079.0,379083.93,,969585.69,1286454.12,5674070.19,5019762.5,7752991.72,17815003.42
b_1,125.21,194.88,198.63,218.24,42322.35,3357.28,165345.36,452404.37,468606.33,675008.07,,1673702.86,7032632.62,3738225.34,7931500.24,10251666.23
a_1,193.71,161.16,188.65,328.47,331.63,268527.73,140275.16,316078.29,444325.86,630253.26,,1117954.41,8723865.81,,,10151308.94
h_1,507.47,689.8,1064.76,942.82,1511.84,7465.34,7896666.34,1734443.35,1899219.49,2144234.34,5907949.48,5725670.17,,20511134.24,29919356.19,34279473.03
d_0,788.38,,964.6,2170.48,1985.94,10869.19,1018924.69,14666767.09,1569424.39,2706995.21,7225430.51,5752055.74,41958368.64,27725687.63,28887958.88,54500996.67
g_1,439.2,1110.99,582.84,1024.6,1448.25,7881.08,490753.28,1708965.65,22379991.87,2129775.32,4157975.75,9318655.28,18670674.68,21273516.57,32970899.21,
c_0,555.86,1063.67,1211.57,,2122.9,8365.53,757701.12,2202731.91,2281618.36,19894081.18,9930517.79,9356792.33,41722836.49,21169860.01,28821549.78,60500443.25
b_0,814.47,856.84,831.96,1300.02,,,1047228.15,2090923.41,1524085.47,3567030.15,48272757.14,8308524.96,38651572.14,55671420.39,27069087.39,58926291.27
f_0,801.78,832.91,,1170.75,2273.12,9813.44,794078.18,2333631.46,1917094.28,4155798.46,7126631.06,58441743.28,27207251.9,33306720.78,71597667.42,50097822.03
h_0,1052.7,1546.09,1597.48,1655.39,2745.76,18947.99,,4014845.6,3502003.62,2654460.31,8637203.41,9155472.59,,50635130.53,60431632.31,164440895.06
a_0,745.55,801.2,759.21,1632.97,1521.87,,820432.87,2806001.11,1743895.47,4073236.79,4587813.24,7873593.19,54212594.69,293408761.06,,
e_0,,734.44,1059.57,812.79,1778.0,,1017497.62,3752338.74,1755293.48,3547955.12,7833766.07,6493216.99,33129918.98,,469252659.38,71170715.43
g_0,749.62,1845.51,1322.61,1584.47,3338.58,13247.4,1304862.24,3077807.49,,6186178.16,10483785.0,11684375.34,61446089.05,,66505403.53,
