,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.72,0.77,0.36,0.35,0.37,0.33,0.71,0.59,0.69,0.8,0.9,0.13,0.93,0.56,0.59,0.68
e_1,0.45,3.79,0.34,0.43,0.37,0.44,0.75,0.59,1.51,0.82,0.79,0.82,0.82,0.9,0.2,0.88
d_1,0.43,0.34,4.25,0.35,0.35,0.35,0.77,0.67,0.21,1.61,0.98,0.89,0.98,0.79,1.01,0.95
c_1,0.37,0.36,0.39,4.32,0.76,0.33,0.7,0.93,0.84,0.14,0.58,0.75,0.96,0.69,0.78,0.77
b_1,0.36,0.38,0.41,0.44,4.79,0.76,0.79,0.66,0.84,0.74,0.26,0.88,0.91,0.72,0.81,0.71
a_1,0.42,0.36,0.49,0.42,0.3,7.27,0.79,0.76,0.88,0.75,0.77,0.84,0.88,0.24,0.91,0.8
h_1,0.97,0.65,0.68,0.63,0.6,0.52,5.14,1.64,1.19,1.66,1.38,1.67,0.57,1.21,1.71,2.07
g_1,0.59,0.39,1.21,0.76,0.8,0.42,1.32,6.39,0.99,1.21,1.46,2.37,1.29,1.3,1.49,0.51
d_0,0.81,0.58,0.25,1.34,0.72,0.76,1.3,1.25,3.62,0.88,1.23,1.78,1.32,1.82,1.36,1.7
c_0,0.83,0.75,0.8,0.3,0.52,0.66,1.35,1.71,1.44,3.89,2.99,1.48,1.79,2.02,1.64,1.81
b_0,0.74,0.8,0.92,0.66,0.21,0.61,1.14,1.53,1.32,1.38,4.49,1.45,1.35,3.83,1.38,1.89
f_0,0.25,0.52,0.86,0.98,0.68,0.64,1.6,1.42,1.58,1.46,1.47,4.99,1.67,1.93,3.32,2.37
h_0,0.99,0.58,0.78,0.59,0.75,0.73,0.47,1.58,1.17,1.0,1.28,1.58,0.62,1.15,1.52,2.16
a_0,0.8,0.64,0.6,0.7,0.8,0.33,1.4,1.25,1.5,1.27,1.71,1.4,1.56,5.69,2.01,1.8
e_0,0.74,0.31,0.69,0.84,0.79,0.76,1.67,1.78,1.3,1.87,1.54,1.91,1.7,1.61,6.78,1.66
g_0,0.64,0.61,1.07,0.74,0.55,0.55,1.06,0.77,1.15,1.3,1.64,2.58,1.74,1.37,1.78,0.77
