,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,0.76,0.63,0.87,0.71,0.79,1.55,2.63,1.34,1.5,1.73,1.73,2.14,1.84,1.31,2.5
f_1,1.09,2.43,0.74,0.87,0.72,0.8,1.11,1.68,1.56,1.52,1.63,0.6,1.8,1.36,1.52,1.79
d_1,0.75,0.83,2.54,0.61,0.84,0.69,1.56,1.01,1.49,2.92,1.91,1.58,2.31,1.46,2.0,1.82
c_1,0.69,0.66,0.94,2.54,1.07,0.69,1.61,1.42,1.63,0.85,1.46,1.99,2.35,1.7,1.65,1.68
b_1,0.78,0.71,0.84,0.66,2.73,1.24,1.44,1.69,1.31,1.5,0.72,1.7,1.85,1.57,1.67,2.21
a_1,0.71,0.75,0.89,0.81,0.7,3.27,1.54,1.96,1.57,1.62,1.99,1.67,2.41,1.25,1.61,2.07
h_1,1.09,1.47,0.93,0.88,0.84,0.76,3.89,1.8,2.06,2.08,2.46,2.49,1.86,2.6,1.99,3.13
d_0,0.96,1.11,0.44,1.74,0.88,0.91,2.23,3.52,1.81,2.14,2.38,2.32,2.53,1.92,2.23,3.2
g_1,0.95,0.78,1.27,0.96,1.25,0.96,1.86,2.36,4.3,1.92,2.2,3.26,2.72,2.53,1.95,1.49
c_0,1.22,1.2,0.89,0.64,0.99,0.85,2.16,2.2,2.06,3.87,3.55,2.67,2.7,2.47,2.51,2.8
b_0,1.09,1.31,0.98,1.12,0.6,0.93,1.86,2.12,2.05,2.13,3.9,2.32,3.14,3.93,2.34,3.37
f_0,0.95,0.77,1.29,1.02,1.09,0.91,2.29,2.0,1.94,2.14,2.72,4.03,2.27,2.87,4.7,2.59
h_0,0.74,1.34,0.95,1.03,1.19,0.74,1.35,2.31,2.28,2.51,2.4,2.71,1.79,2.28,2.41,3.42
a_0,0.93,1.3,1.22,0.99,0.83,0.63,2.11,2.47,2.04,2.63,1.93,2.26,3.23,4.78,2.49,3.04
e_0,0.48,1.23,1.03,1.17,0.99,1.12,2.58,2.34,2.16,2.27,2.42,1.6,2.99,2.86,4.78,2.8
g_0,0.85,0.92,1.48,1.25,0.9,0.98,2.03,1.85,,2.17,2.18,3.28,2.35,2.03,2.24,2.1
