,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.99,0.85,0.92,0.83,0.69,0.57,0.66,0.82,0.68,0.63,0.59,0.63,0.47,0.56
f_1,0.93,1.0,1.28,0.98,0.86,0.76,0.59,0.68,0.66,0.6,0.58,0.52,0.51,0.53,0.61,0.42
e_1,1.01,0.79,1.0,1.08,0.99,0.89,0.76,0.73,0.91,0.69,0.71,0.68,0.57,0.6,0.58,0.56
c_1,1.2,0.99,0.92,1.0,1.31,0.79,0.72,0.75,0.48,0.54,0.52,0.7,0.66,0.56,0.56,0.56
b_1,1.09,1.16,1.02,0.79,1.0,1.31,0.71,0.66,0.69,0.73,0.71,0.68,0.65,0.61,0.66,0.62
a_1,1.18,1.3,1.11,1.26,0.78,1.0,0.98,0.92,0.82,0.79,0.85,0.7,0.83,0.83,0.75,0.72
h_1,1.43,1.71,1.38,1.41,1.31,1.03,1.0,1.15,0.84,0.82,0.78,0.79,0.92,0.78,0.92,0.78
g_1,1.78,1.47,1.37,1.36,1.44,1.1,0.86,1.0,0.94,0.99,0.95,1.1,0.76,0.81,0.74,0.92
d_0,1.48,1.51,1.12,2.16,1.41,1.16,1.15,1.03,1.0,0.87,1.0,0.8,0.95,0.74,0.83,0.92
c_0,1.2,1.73,1.47,1.78,1.31,1.28,1.24,1.04,1.21,1.0,1.4,0.93,1.02,0.94,0.82,1.0
b_0,1.51,1.69,1.44,1.82,1.29,1.18,1.24,1.02,0.97,0.7,1.0,0.94,0.9,1.13,0.92,0.78
f_0,1.6,1.73,1.49,1.44,1.43,1.47,1.21,0.88,1.1,1.09,1.1,1.0,0.95,0.99,0.74,1.46
h_0,1.74,1.99,1.71,1.5,1.51,1.26,1.1,1.29,1.06,0.97,1.07,1.05,1.0,0.92,1.09,0.81
a_0,1.69,1.95,1.74,1.72,1.63,1.16,1.31,1.27,1.27,1.09,0.94,0.94,1.07,1.0,0.97,0.84
g_0,2.07,1.69,1.7,1.72,1.55,1.35,1.08,1.29,1.09,1.19,1.17,1.37,0.93,1.05,1.0,1.1
e_0,1.78,2.31,1.83,1.7,1.75,1.38,1.26,1.08,1.03,0.95,1.3,0.76,1.19,1.04,0.9,1.0
