,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,97.9,48.21,74.35,69.84,99.67,410.7,7318.66,14114.13,26696.03,31350.71,41891.22,35073.93,71716.94,123291.97,112536.7,225439.96
f_1,63.88,108.07,69.45,74.35,78.88,327.71,5728.48,11897.12,12976.35,27779.93,23531.45,37891.66,68790.52,92354.84,88446.82,189911.59
c_1,42.11,43.5,134.34,64.74,111.78,322.18,6420.61,10676.55,10113.83,18393.1,33820.77,29854.81,68280.1,102094.91,109182.48,169086.47
d_1,41.02,45.48,49.07,150.03,65.54,353.27,5974.41,10884.22,7858.24,45556.24,34846.1,40263.47,78485.83,89761.4,105949.79,161073.93
b_1,31.33,42.67,51.25,69.61,164.45,528.55,5811.0,9992.04,13524.27,29359.08,31356.06,27218.82,49547.31,87978.17,104415.01,211320.15
a_1,19.84,30.62,37.04,38.15,37.07,588.92,3859.57,6060.86,7554.5,18464.83,17415.19,19568.53,19597.5,55117.11,77920.36,84649.54
h_1,12.18,17.41,16.5,19.56,20.28,94.62,2954.11,4276.12,3817.96,7440.87,8357.85,9989.64,17682.15,20450.97,31207.63,61657.51
g_1,9.1,9.71,14.82,23.52,16.77,83.21,1303.36,4910.99,2555.07,7296.3,10570.03,8245.1,14236.47,21579.71,27377.03,31864.19
d_0,7.56,12.31,24.4,11.27,16.35,74.99,1480.86,2682.22,4430.3,5371.81,7430.34,7701.54,14950.81,20975.84,21524.3,49424.51
c_0,8.01,10.18,8.88,10.99,12.15,58.13,1257.13,2287.49,2496.29,8405.4,6295.97,11316.87,13052.58,17663.23,20007.16,36407.81
f_0,6.95,7.06,11.93,11.56,12.75,61.95,1214.49,1867.74,2545.75,5045.39,9273.46,7305.67,13885.95,18621.57,36324.49,28239.5
b_0,7.46,8.22,11.45,12.91,6.71,42.32,1092.26,2550.39,2083.5,4777.28,5466.8,9972.62,18893.75,16225.73,19785.05,30861.48
a_0,6.06,6.91,8.71,8.92,11.04,39.91,931.33,1897.88,1717.83,4039.42,5474.51,4159.26,16134.0,13288.59,17937.06,23718.71
h_0,4.95,8.54,7.71,9.5,9.15,39.99,599.11,1787.05,1900.64,4144.82,3643.02,4232.39,10309.92,9527.42,13758.21,29124.5
e_0,2.9,7.19,6.81,9.45,9.31,43.25,800.45,1304.36,1502.88,3988.2,3152.01,4082.42,6254.19,12727.35,23887.88,20909.51
g_0,3.82,4.99,7.18,10.25,6.54,35.45,631.46,935.34,1195.34,2807.72,4964.9,3839.2,7311.06,8864.83,13852.13,16245.15
