,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,99.37,11.5,10.44,21.42,30.23,70.19,2523.42,2829.92,5816.27,4500.5,7846.13,6561.65,25593.26,,36034.49,51804.53
d_1,12.57,111.02,14.92,17.41,29.7,82.61,2142.52,2414.48,,7453.46,6074.67,7463.48,20637.64,23737.14,25393.28,33958.72
f_1,20.1,12.03,119.53,18.0,26.36,51.0,1963.73,2379.77,4238.05,4312.3,,6731.04,14836.98,16004.74,27938.37,48617.45
c_1,8.86,11.23,11.52,157.99,38.88,55.43,1827.09,2483.66,3499.18,,6404.04,5182.99,22288.58,15761.74,24598.06,37999.83
b_1,7.69,10.6,10.3,10.83,215.13,75.06,1977.39,1855.96,3604.17,4591.24,5409.88,,16374.99,13199.38,,35012.11
a_1,6.4,4.67,9.36,14.23,13.38,455.75,1536.38,1373.12,1573.03,2206.29,4074.83,4063.8,11616.72,15071.53,,32750.66
h_1,4.17,5.33,8.27,7.63,12.96,25.7,3507.57,1435.65,1612.6,2131.82,2011.97,2165.69,,13011.88,11329.31,31233.28
g_1,4.12,7.64,4.68,7.07,12.68,30.5,680.64,3860.2,1744.91,2069.05,4672.42,3166.69,6902.23,10244.27,10896.35,
d_0,5.06,,5.09,14.31,10.73,35.6,1032.85,880.22,4238.22,1831.26,3021.93,2522.89,9646.63,10816.73,11017.17,18878.86
c_0,5.87,4.39,5.48,,8.7,26.25,792.47,997.19,1294.65,4988.16,3829.75,4069.62,10356.25,7563.64,10756.74,17513.27
f_0,3.37,5.71,,6.01,10.95,21.6,1013.57,418.09,1633.38,1268.88,7075.67,2672.0,8853.69,10996.64,10811.26,15522.48
b_0,3.31,4.81,6.19,7.53,,24.42,1028.57,685.21,1578.95,1354.06,2137.6,6948.17,6052.07,5617.78,18559.79,14205.69
h_0,2.26,3.52,6.64,4.96,8.53,23.89,,1036.9,1176.54,1592.76,2382.74,3138.75,,6970.15,8077.96,17515.4
e_0,,2.55,3.08,4.68,7.49,16.32,394.78,676.37,864.57,1260.18,1219.61,2683.93,5962.25,18168.24,,14430.65
a_0,2.11,3.05,3.36,3.94,,,459.54,480.85,1005.85,1073.41,1768.79,1477.22,4598.42,,22035.81,9085.17
g_0,1.99,5.05,3.24,5.24,5.12,14.25,464.38,,868.34,1007.98,2315.52,1597.86,6500.58,5575.35,7333.53,
