,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.62,12.74,12.31,11.34,12.32,2.65,2.05,3.48,1.98,1.89,2.64,2.5,2.49,10.65,1.83
f_1,9.65,1.14,10.23,13.54,13.13,11.59,2.06,2.15,4.39,2.03,1.97,6.81,1.15,1.92,1.86,2.17
d_1,16.95,12.54,1.14,10.29,10.38,10.53,3.96,13.73,2.56,2.49,2.82,2.0,1.96,2.24,2.29,1.1
c_1,10.83,11.14,15.98,1.14,13.32,12.24,4.18,1.36,3.61,9.55,2.41,2.19,1.73,2.6,2.35,1.43
b_1,16.12,16.32,11.95,9.51,1.14,12.89,5.03,3.72,3.17,2.94,10.96,2.97,1.74,3.48,2.87,2.26
a_1,20.61,19.64,22.59,23.99,10.54,1.15,8.4,5.04,5.74,5.71,5.76,4.98,4.33,18.95,4.16,3.69
h_1,24.19,35.05,24.08,26.1,29.73,27.99,1.88,5.04,7.55,5.05,5.88,4.34,9.02,4.62,3.81,3.42
d_0,17.11,32.21,81.87,32.96,38.16,31.6,12.0,2.77,8.4,7.94,7.22,8.15,4.25,6.42,6.35,6.03
g_1,37.4,34.71,32.43,31.68,37.65,30.14,8.4,7.45,1.94,7.1,7.22,6.56,3.81,6.65,6.35,22.62
c_0,42.68,37.24,16.88,105.26,39.77,43.53,10.77,8.54,12.22,2.62,6.95,7.27,4.38,6.42,7.39,5.03
b_0,34.23,41.57,33.42,44.09,122.78,39.18,9.88,7.61,11.02,4.27,2.77,6.56,5.02,8.24,7.24,5.4
f_0,43.71,162.5,42.53,30.21,41.53,40.81,9.88,8.33,6.93,7.02,7.5,2.79,4.6,8.61,11.68,3.58
h_0,54.15,52.57,45.49,42.38,56.48,43.53,30.0,10.94,13.44,10.18,8.38,11.45,17.0,8.42,8.42,8.04
a_0,52.58,77.72,66.84,56.26,61.39,130.6,12.92,14.0,14.3,11.98,5.82,8.68,8.19,2.77,9.05,10.34
e_0,98.05,66.2,48.88,65.26,62.76,63.19,17.5,12.73,20.36,11.75,13.9,5.91,7.62,11.15,2.9,10.34
g_0,51.83,81.25,61.79,66.59,57.63,65.3,12.92,10.77,,12.73,10.36,11.96,6.6,13.54,12.48,15.08
