,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.65,0.7,0.94,1.03,0.99,0.82,0.42,0.41,0.34,0.41,0.39,0.39,0.29,0.4,0.31,0.34
f_1,1.03,0.65,0.87,0.92,0.89,0.78,0.35,0.43,0.35,0.35,0.37,0.35,0.24,0.27,0.3,0.3
d_1,1.07,1.05,0.64,1.04,0.87,0.78,0.43,0.31,0.37,0.43,0.36,0.35,0.27,0.32,0.22,0.3
c_1,0.83,1.04,1.08,0.63,1.12,0.96,0.44,0.44,0.39,0.25,0.32,0.33,0.3,0.33,0.27,0.33
b_1,1.0,1.17,1.2,0.69,0.61,1.16,0.56,0.58,0.48,0.37,0.38,0.41,0.34,0.39,0.31,0.32
a_1,1.34,1.34,1.3,1.04,0.71,0.57,0.57,0.53,0.46,0.46,0.46,0.53,0.36,0.37,0.35,0.48
h_1,1.61,1.73,1.57,1.5,1.29,1.32,0.53,0.72,0.59,0.59,0.55,0.56,0.55,0.51,0.44,0.49
g_1,1.74,1.71,1.83,1.71,1.53,1.36,0.65,0.51,0.63,0.66,0.76,0.64,0.42,0.57,0.58,0.6
c_0,1.85,1.84,1.26,2.43,1.59,1.43,0.85,0.73,0.54,0.9,0.67,0.74,0.53,0.57,0.46,0.71
d_0,1.27,1.72,2.01,2.02,1.85,1.62,0.82,0.75,0.57,0.56,0.65,0.67,0.49,0.74,0.58,0.63
f_0,1.64,2.23,1.78,1.91,1.72,1.63,0.86,0.57,0.61,0.67,0.53,0.66,0.53,0.73,0.4,0.58
b_0,1.8,1.86,1.54,2.36,2.17,1.64,0.83,0.75,0.45,0.78,0.63,0.51,0.56,0.64,0.53,0.71
h_0,1.94,2.09,1.95,1.99,1.88,1.65,0.98,1.04,0.74,0.74,0.72,0.7,0.63,0.63,0.62,0.62
e_0,2.22,2.79,1.98,2.15,1.67,1.93,0.91,0.86,0.71,0.76,0.49,0.68,0.64,0.5,0.47,0.67
g_0,1.95,2.31,2.27,2.12,2.06,1.82,0.86,0.94,0.82,0.77,0.84,0.78,0.52,0.73,0.67,0.71
a_0,2.05,2.1,2.17,2.31,2.52,2.59,1.02,0.9,0.6,0.79,0.84,0.48,0.63,0.79,0.64,0.51
