,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.31,1.2,0.9,1.24,0.95,0.81,1.84,3.69,2.0,1.66,2.28,1.99,2.98,1.89,1.27,2.32
f_1,1.76,2.36,0.91,1.01,0.79,0.76,2.02,2.43,2.07,1.56,2.16,1.44,2.44,1.76,1.22,2.45
d_1,1.07,1.18,2.5,0.69,0.94,0.84,2.1,1.48,3.78,1.79,2.68,2.17,2.79,1.97,1.85,2.62
c_1,0.92,1.02,0.98,2.58,1.75,0.9,1.76,2.22,1.3,1.59,1.61,1.86,2.6,1.47,1.65,2.35
b_1,0.99,1.06,1.01,0.98,2.72,1.63,1.78,2.13,1.99,1.87,1.5,2.32,2.42,1.36,2.06,2.17
a_1,1.15,1.29,0.95,1.01,0.94,3.07,2.12,2.45,2.05,1.36,2.07,1.74,2.72,1.44,1.98,2.8
h_1,1.12,1.46,1.26,1.02,0.89,0.71,3.46,2.06,2.53,2.25,2.29,2.23,2.41,2.17,1.8,3.36
d_0,1.15,1.2,0.76,1.78,1.13,0.88,1.81,3.17,1.58,1.68,2.06,2.05,3.0,1.78,1.73,2.58
c_0,1.23,1.38,1.24,0.76,0.87,0.92,2.42,2.03,3.48,1.97,3.88,2.29,2.74,2.55,2.03,3.0
g_1,0.96,1.03,1.73,1.0,0.91,0.96,2.16,1.94,2.53,3.94,2.24,3.23,2.92,1.75,2.72,2.12
b_0,1.22,1.23,1.26,1.13,0.75,0.73,2.28,2.32,2.6,1.91,3.44,2.18,3.13,3.65,2.01,2.79
f_0,0.87,1.11,1.29,1.24,1.02,0.9,2.22,2.38,2.45,2.05,2.64,3.73,3.21,2.23,3.9,2.68
h_0,1.15,1.42,1.19,1.12,1.05,0.85,1.88,2.18,2.3,2.51,2.26,2.33,2.22,1.84,2.06,3.3
a_0,1.23,1.27,1.17,1.17,0.97,0.55,2.21,2.15,2.24,1.92,2.18,2.47,3.26,3.85,1.78,2.75
e_0,0.94,1.29,1.2,1.04,1.06,0.93,2.34,2.22,2.49,2.05,2.9,2.68,2.96,2.32,3.87,2.6
g_0,1.08,1.0,1.63,1.04,1.04,0.78,2.16,1.87,2.46,1.47,2.44,3.24,2.74,2.28,2.42,2.4
