,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,1.0,1.12,0.97,1.7,3.05,16.73,23.75,20.41,25.77,44.45,34.16,81.66,86.08,83.89,98.52
f_1,1.0,1.0,1.02,1.38,1.26,2.66,14.42,23.4,27.63,30.01,35.5,41.59,66.28,62.31,85.88,98.84
d_1,0.91,0.99,1.0,1.09,1.2,2.83,15.97,18.1,25.74,38.32,37.61,45.89,75.07,83.08,80.02,79.55
e_1,1.02,0.73,0.92,1.0,1.23,2.81,15.35,23.47,32.95,27.0,42.39,38.95,74.78,83.53,81.63,104.74
b_1,0.59,0.79,0.83,0.81,1.0,3.41,13.86,17.87,19.41,26.78,31.12,35.76,65.34,64.13,62.05,77.54
a_1,0.33,0.37,0.34,0.34,0.3,1.0,5.42,8.54,8.98,11.48,13.87,16.62,26.64,29.58,35.61,35.99
h_1,0.06,0.07,0.06,0.07,0.07,0.18,1.0,1.45,1.56,1.78,2.45,2.57,4.51,4.31,4.97,6.88
g_1,0.04,0.04,0.05,0.04,0.06,0.12,0.69,1.0,1.13,1.41,2.21,1.85,2.88,3.73,3.54,4.37
d_0,0.05,0.04,0.04,0.03,0.05,0.11,0.64,0.87,1.0,0.93,1.71,1.44,2.82,3.24,3.49,4.02
c_0,0.04,0.03,0.03,0.04,0.04,0.09,0.56,0.72,1.02,1.0,1.29,1.85,2.57,2.87,3.19,3.13
f_0,0.02,0.03,0.03,0.02,0.03,0.07,0.41,0.47,0.63,0.78,1.0,1.1,1.89,2.86,2.37,2.11
b_0,0.03,0.02,0.02,0.03,0.03,0.06,0.39,0.52,0.67,0.56,0.87,1.0,1.88,1.91,2.86,2.28
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.34,0.35,0.39,0.55,0.53,1.0,1.04,1.16,1.37
e_0,0.01,0.02,0.01,0.01,0.02,0.04,0.22,0.26,0.3,0.33,0.36,0.5,0.97,1.0,1.07,1.12
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.28,0.29,0.31,0.4,0.35,0.86,0.92,1.0,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.23,0.25,0.32,0.48,0.42,0.72,0.89,0.88,1.0
