,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.51,0.83,1.03,0.77,0.96,0.71,1.07,0.98,1.68,0.91,1.04,0.92,0.85,1.12,0.82,1.1
f_1,1.33,1.53,0.9,0.81,0.82,0.59,0.94,0.99,1.06,0.84,0.8,0.87,0.87,1.0,0.6,0.96
c_1,0.91,0.94,1.56,0.88,1.29,0.69,1.04,0.97,0.89,0.76,0.98,0.83,0.85,1.12,0.92,0.94
d_1,0.97,1.02,0.76,1.59,0.79,0.73,1.04,0.95,0.83,1.57,1.06,1.12,1.11,1.19,0.98,0.95
b_1,0.86,0.92,0.86,0.95,1.59,1.28,1.05,0.91,1.16,1.05,0.98,0.9,0.76,1.14,0.9,1.11
a_1,0.95,1.15,1.11,0.97,0.83,1.79,1.34,1.04,1.16,1.12,1.1,1.19,0.83,1.2,1.05,1.14
h_1,1.14,1.49,1.08,1.11,0.98,0.82,1.81,1.47,1.28,1.11,1.12,1.16,1.0,1.15,1.01,1.45
g_1,1.11,1.1,1.14,1.61,1.04,0.89,1.21,1.87,1.11,1.26,1.64,1.3,1.17,1.34,1.09,1.14
d_0,0.97,1.25,1.93,0.91,1.1,0.83,1.37,1.28,1.72,0.95,1.24,1.17,1.21,1.27,1.12,1.33
c_0,1.28,1.38,1.09,1.14,0.97,0.87,1.52,1.41,1.42,1.8,1.34,2.12,1.47,1.51,1.1,1.52
f_0,1.15,1.2,1.31,1.23,1.13,0.96,1.47,1.23,1.56,1.25,1.83,1.49,1.37,1.54,2.1,1.17
b_0,1.31,1.39,1.3,1.29,0.85,0.7,1.5,1.48,1.23,1.29,1.28,1.88,2.18,1.4,0.99,1.37
a_0,1.3,1.39,1.3,1.2,1.17,0.87,1.56,1.49,1.37,1.43,1.53,1.2,1.89,1.62,1.52,1.35
h_0,1.19,1.61,1.34,1.24,1.1,0.81,1.29,1.6,1.57,1.36,1.13,1.33,1.31,1.33,1.15,1.65
e_0,0.9,1.59,1.3,1.3,1.26,0.99,1.74,1.41,1.42,1.57,1.14,1.49,1.14,1.61,1.89,1.38
g_0,1.16,1.32,1.39,1.77,1.19,0.9,1.36,1.22,1.36,1.34,1.89,1.37,1.25,1.42,1.39,1.23
