,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.83,0.51,0.48,0.42,0.3,0.35,0.37,0.28,0.3,0.31,0.24,0.3,0.23,0.17,0.27
e_1,0.55,0.95,0.66,0.44,0.52,0.36,0.35,0.56,0.32,0.33,0.3,0.3,0.31,0.24,0.23,0.3
c_1,0.56,0.49,0.95,0.51,0.8,0.38,0.37,0.33,0.29,0.21,0.22,0.28,0.33,0.26,0.26,0.26
d_1,0.68,0.57,0.5,0.96,0.46,0.33,0.35,0.34,0.29,0.53,0.38,0.27,0.33,0.27,0.25,0.26
b_1,0.65,0.56,0.49,0.54,0.95,0.66,0.41,0.38,0.32,0.34,0.25,0.34,0.34,0.23,0.25,0.27
a_1,0.73,0.69,0.66,0.72,0.44,0.94,0.47,0.44,0.44,0.39,0.38,0.37,0.42,0.22,0.28,0.28
h_1,1.12,0.86,0.82,0.85,0.61,0.43,0.78,0.5,0.54,0.48,0.44,0.41,0.43,0.35,0.35,0.52
d_0,0.91,0.75,1.32,0.65,0.79,0.55,0.59,0.72,0.48,0.4,0.48,0.39,0.46,0.38,0.4,0.44
g_1,0.87,0.81,0.95,1.19,0.72,0.49,0.51,0.52,0.77,0.54,0.48,0.65,0.46,0.36,0.45,0.39
c_0,1.03,0.91,0.93,0.82,0.63,0.56,0.6,0.7,0.53,0.71,0.81,0.48,0.63,0.51,0.41,0.49
b_0,1.04,1.02,1.05,0.86,0.63,0.42,0.66,0.64,0.59,0.52,0.73,0.55,0.62,0.72,0.37,0.51
f_0,0.91,0.87,1.07,1.12,0.76,0.56,0.62,0.66,0.48,0.55,0.52,0.69,0.63,0.41,0.74,0.46
h_0,1.25,1.02,0.91,1.03,0.87,0.55,0.56,0.59,0.66,0.55,0.47,0.48,0.48,0.43,0.42,0.6
a_0,1.09,1.07,1.04,1.03,0.91,0.53,0.71,0.65,0.62,0.54,0.5,0.62,0.59,0.66,0.54,0.48
e_0,1.14,0.75,1.04,1.13,0.9,0.65,0.7,0.67,0.52,0.58,0.6,0.46,0.67,0.46,0.69,0.57
g_0,1.12,0.92,1.07,1.43,0.89,0.66,0.59,0.57,0.5,0.56,0.57,0.69,0.6,0.52,0.48,0.47
