,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,24.63,0.22,0.38,0.4,0.37,0.26,0.7,1.69,0.69,0.79,0.65,0.92,0.98,1.18,0.21,0.81
d_1,0.26,28.45,0.33,0.28,0.3,0.32,0.7,0.16,1.78,0.73,0.98,0.9,1.03,0.78,1.19,0.9
f_1,0.65,0.33,25.57,0.37,0.24,0.45,0.66,0.63,0.7,0.6,0.74,0.12,0.98,0.79,0.77,0.83
c_1,0.34,0.26,0.33,26.59,0.75,0.27,0.92,0.75,0.14,0.65,0.61,0.86,0.74,0.74,0.96,0.68
b_1,0.37,0.39,0.4,0.26,31.36,0.73,0.59,0.72,0.68,0.79,0.18,0.7,0.9,0.74,0.51,0.55
a_1,0.36,0.34,0.37,0.37,0.22,47.88,0.86,0.91,0.9,0.78,0.83,0.89,0.72,0.8,0.59,0.2
h_1,0.64,0.66,0.81,0.71,0.65,0.6,9.41,1.48,1.34,1.79,1.57,1.48,0.5,1.81,1.39,1.75
d_0,0.54,0.11,0.86,1.62,0.6,0.65,1.14,5.21,1.08,1.0,1.68,1.13,1.45,1.31,1.15,1.9
c_0,0.65,0.92,0.68,0.2,0.62,0.61,1.03,1.49,5.58,1.09,4.13,1.95,1.49,1.7,1.88,1.79
g_1,0.38,1.4,0.54,0.74,0.57,0.4,1.08,1.36,1.34,12.23,1.61,2.54,1.12,0.83,1.65,1.33
b_0,0.6,0.78,0.73,0.73,0.26,0.42,2.26,1.24,1.77,1.4,7.19,1.63,1.59,1.63,1.42,3.96
f_0,0.62,0.91,0.18,0.56,0.89,0.68,1.48,1.66,1.64,1.17,1.68,5.96,1.62,2.27,3.2,1.49
h_0,0.71,0.66,1.01,0.56,0.52,0.55,0.47,1.37,1.5,2.07,1.55,1.37,0.65,1.87,1.35,1.21
g_0,0.52,1.38,0.35,0.76,0.61,0.64,1.39,1.17,1.19,0.49,1.19,2.5,1.41,0.54,1.33,1.22
e_0,0.17,0.74,0.67,0.74,0.63,0.81,1.53,1.4,1.7,1.42,2.09,2.12,2.47,2.38,10.18,1.39
a_0,0.51,0.82,0.62,0.77,0.64,0.29,1.58,1.96,1.32,1.47,1.44,1.69,2.31,1.42,1.84,7.97
