,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.08,2.44,2.46,2.04,2.09,1.92,0.6,0.47,0.42,0.63,0.47,0.43,0.31,0.42,0.22,0.42
f_1,2.32,1.09,2.24,2.61,2.53,2.04,0.51,0.5,0.71,0.52,0.45,0.6,0.27,0.43,0.39,0.39
e_1,2.8,1.56,1.09,2.62,2.73,2.33,0.69,0.57,0.84,0.53,0.53,0.66,0.36,0.5,0.44,0.65
c_1,3.41,3.23,2.32,1.1,3.16,2.42,0.77,0.8,0.78,0.38,0.54,0.56,0.42,0.58,0.44,0.5
b_1,3.32,3.89,3.01,1.83,1.1,3.25,1.17,0.81,0.96,0.6,1.03,0.64,0.48,0.73,0.52,0.65
a_1,4.87,4.94,4.35,4.67,2.25,1.13,1.39,0.96,1.48,0.93,1.17,0.94,0.76,1.24,0.77,0.84
h_1,8.03,9.15,9.04,11.31,8.9,8.18,1.55,1.77,2.36,2.18,1.78,1.86,1.51,1.57,1.25,1.61
c_0,7.16,12.56,13.05,14.37,10.83,10.59,3.18,1.76,2.97,3.02,2.6,2.38,1.77,2.16,1.49,2.13
g_1,10.35,11.7,11.0,12.01,11.62,9.55,2.32,2.13,1.58,2.6,2.29,2.0,1.41,2.2,1.59,1.96
d_0,16.19,10.59,7.41,11.81,12.42,11.54,3.54,2.64,4.11,1.86,2.87,2.66,1.83,2.62,2.04,2.38
b_0,10.49,13.72,13.35,18.83,14.26,11.67,4.01,1.69,3.42,2.92,1.76,3.02,2.16,2.78,1.91,2.43
f_0,13.72,18.2,13.72,15.6,12.37,13.46,3.92,3.05,2.73,3.29,2.93,1.84,2.28,2.99,1.36,2.94
h_0,16.84,16.67,16.09,17.27,16.44,15.14,5.68,3.58,4.66,3.89,3.45,3.65,3.03,2.96,2.56,2.72
a_0,17.46,20.62,19.13,23.72,21.23,20.84,5.49,3.01,5.07,4.55,2.29,4.23,2.77,2.0,2.65,3.74
g_0,19.04,23.79,21.0,21.78,17.85,16.29,4.98,4.27,6.2,4.78,4.09,3.84,2.17,3.63,3.03,3.86
e_0,19.83,25.3,23.59,18.24,19.97,18.63,6.0,4.48,4.21,5.16,3.55,2.42,3.25,4.07,2.42,2.32
