,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.0,0.89,1.35,0.54,0.53,0.48,0.31,0.3,0.42,0.33,0.36,0.32,0.28,0.3
f_1,1.03,1.0,1.01,1.28,0.81,0.6,0.42,0.51,0.4,0.38,0.33,0.37,0.28,0.21,0.31,0.32
d_1,0.99,0.99,1.0,0.99,0.98,0.74,0.53,0.38,0.47,0.55,0.38,0.44,0.35,0.37,0.31,0.26
e_1,1.12,0.79,1.02,1.0,0.98,0.85,0.5,0.49,0.63,0.42,0.44,0.4,0.39,0.46,0.36,0.38
b_1,0.74,1.23,1.03,1.02,1.0,1.29,0.65,0.49,0.51,0.48,0.42,0.41,0.36,0.33,0.36,0.32
a_1,1.86,1.66,1.34,1.19,0.78,1.0,0.61,0.74,0.62,0.58,0.5,0.58,0.46,0.55,0.44,0.5
h_1,1.94,2.34,1.87,2.02,1.64,1.55,1.0,0.99,0.91,0.87,0.73,0.79,0.69,0.55,0.65,0.77
g_1,2.03,2.08,2.66,1.98,2.15,1.31,1.01,1.0,0.91,0.88,1.17,0.78,0.59,0.78,0.75,0.71
d_0,3.29,2.31,2.22,1.57,2.18,1.56,1.14,1.02,1.0,0.8,1.09,0.82,0.74,0.81,0.77,0.74
c_0,3.07,2.54,1.81,2.21,1.93,1.77,1.21,1.08,1.18,1.0,0.97,1.38,0.88,0.98,0.92,0.83
f_0,2.65,2.84,2.63,2.2,2.28,1.87,1.28,0.86,1.0,1.03,1.0,1.1,0.89,1.26,1.09,0.7
b_0,3.01,2.88,2.22,2.45,2.57,1.67,1.26,1.23,1.15,0.75,0.88,1.0,0.98,0.9,1.31,0.85
h_0,2.76,3.47,2.97,2.67,2.54,2.04,1.42,1.75,1.35,1.22,1.2,1.02,1.0,0.95,0.95,1.07
e_0,3.17,4.88,2.89,2.47,3.12,1.86,1.66,1.25,1.18,1.01,0.82,1.08,1.14,1.0,1.05,0.94
a_0,3.43,3.04,3.22,2.82,2.72,2.22,1.53,1.38,1.29,1.09,0.91,0.75,1.05,0.9,1.0,1.03
g_0,3.36,3.16,3.75,2.71,3.04,1.98,1.31,1.42,1.37,1.24,1.42,1.15,0.94,1.03,0.97,1.0
