,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.05,2.14,2.09,1.88,1.78,1.87,0.69,0.52,0.59,0.78,0.56,0.53,0.56,0.44,0.47,0.31
f_1,1.86,1.05,2.28,1.93,1.9,1.7,0.6,0.81,0.64,0.61,0.57,0.88,0.54,0.36,0.53,0.47
e_1,2.32,1.54,1.06,2.65,2.24,2.08,0.9,0.88,0.62,0.79,0.74,0.7,0.65,0.54,0.82,0.54
c_1,2.9,2.63,1.76,1.06,2.45,1.77,0.95,0.89,0.84,0.39,0.5,0.64,0.49,0.49,0.56,0.49
b_1,3.01,2.66,2.53,1.66,1.06,2.28,1.17,1.1,1.03,0.77,1.09,0.75,0.68,0.66,0.57,0.64
a_1,3.28,4.17,3.48,2.95,1.86,1.07,1.7,1.28,1.12,1.0,1.29,0.96,1.26,0.85,0.95,0.91
h_1,5.32,6.02,5.3,4.98,5.21,3.67,1.32,2.0,1.66,1.66,1.65,1.38,1.52,1.64,1.39,1.21
g_1,7.57,6.67,6.51,5.65,5.78,4.98,1.94,1.32,1.78,1.76,2.02,1.81,1.66,1.13,1.75,1.6
c_0,4.34,7.05,6.59,11.77,6.22,5.92,2.47,2.72,1.48,2.97,2.19,1.63,1.88,1.48,1.67,1.44
d_0,9.48,6.71,4.32,8.14,6.4,5.65,2.72,2.79,1.94,1.56,2.11,2.07,2.21,1.75,1.7,1.5
b_0,5.9,8.07,6.48,10.83,10.13,6.06,2.31,2.18,1.3,2.36,1.49,1.87,2.14,1.65,1.68,1.52
f_0,7.52,9.94,7.59,8.14,8.2,6.06,3.09,1.97,2.44,2.49,2.21,1.5,2.0,1.83,2.47,1.27
a_0,8.05,8.39,8.84,11.38,9.78,12.64,3.58,2.91,2.41,2.78,1.7,2.52,1.56,1.92,2.41,2.06
h_0,8.69,10.39,9.34,9.26,8.7,7.57,3.92,3.33,3.0,2.71,2.69,2.64,2.3,2.61,1.97,2.06
e_0,10.41,14.34,12.57,10.85,9.85,6.71,3.71,2.58,2.99,3.32,3.17,1.48,2.71,2.99,1.56,1.75
g_0,10.69,10.74,10.1,10.07,9.82,8.24,3.16,4.59,3.21,3.6,3.01,2.8,2.94,2.22,3.17,2.73
