,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,6.34,16.13,11.31,17.4,10.94,4.44,2.53,4.57,3.02,3.22,3.27,1.37,2.54,,2.45
f_1,14.42,0.17,13.67,13.72,14.04,15.54,2.18,3.41,3.98,2.26,2.77,,1.09,2.96,2.57,1.86
d_1,14.43,11.29,0.17,13.04,11.26,12.85,3.53,3.86,2.87,,2.72,2.84,1.7,2.13,3.3,1.06
c_1,14.95,13.31,9.71,0.14,12.69,12.49,3.75,,3.48,1.47,3.34,2.4,1.84,3.48,2.96,1.79
b_1,13.34,17.23,15.01,6.48,0.12,13.48,3.98,2.82,2.66,2.7,,2.42,1.7,3.01,2.92,2.27
a_1,12.15,11.51,12.85,13.88,7.99,0.1,3.99,2.86,2.98,2.91,3.06,2.17,2.9,,,2.26
h_1,3.5,3.82,3.07,3.5,2.57,3.42,0.07,0.55,0.92,0.9,0.66,0.74,,0.65,0.47,0.64
c_0,2.53,2.3,1.48,,3.86,2.5,0.7,0.09,0.71,0.51,0.48,0.56,0.58,0.55,0.5,0.37
g_1,5.01,6.64,3.79,2.67,4.32,3.15,0.61,0.71,0.05,0.71,0.56,0.57,0.39,,0.63,
d_0,1.25,2.95,,4.11,2.59,4.25,0.61,0.85,0.77,0.08,0.51,0.39,0.35,0.43,0.66,0.33
b_0,3.11,2.86,3.1,3.19,,2.89,0.73,0.28,0.57,0.39,0.08,0.67,0.35,0.64,0.62,0.37
f_0,3.4,,2.84,2.04,2.07,2.38,0.67,0.46,0.55,0.62,0.54,0.07,0.31,0.71,0.57,0.29
h_0,1.66,1.84,1.7,1.9,1.39,1.98,,0.33,0.57,0.3,0.43,0.34,,0.26,0.29,0.2
a_0,3.12,2.6,2.58,3.73,3.76,,0.79,0.47,,0.72,0.25,0.71,0.56,0.05,0.54,0.28
e_0,,3.11,2.55,3.16,2.73,,0.8,0.5,0.77,0.7,0.58,0.29,0.42,0.5,0.05,0.33
g_0,1.63,2.23,2.21,1.54,2.03,1.98,0.51,0.31,,0.28,0.32,0.36,0.18,0.44,0.32,
