,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.73,0.85,0.73,1.01,0.82,0.72,0.93,0.97,0.84,1.62,1.0,1.07,1.02,1.01,0.86,0.86
f_1,1.26,1.74,0.77,0.78,0.72,0.75,0.89,0.9,0.8,0.95,1.0,0.68,0.96,0.92,0.63,0.89
d_1,0.77,0.85,1.87,0.64,0.83,0.73,1.02,1.04,1.68,0.72,1.11,0.99,1.01,1.02,1.06,1.1
c_1,0.79,0.78,0.85,2.05,1.3,0.83,0.88,0.79,0.59,0.88,0.79,0.95,0.88,0.87,0.89,1.01
b_1,0.72,0.81,0.81,0.78,2.17,1.51,1.01,0.9,0.88,0.83,0.61,1.0,0.7,1.02,0.99,0.91
a_1,0.81,0.81,0.83,0.9,0.76,2.97,1.02,1.0,0.96,0.9,0.96,0.95,0.8,1.04,0.97,0.97
h_1,0.83,1.16,1.02,0.81,0.58,0.73,1.65,1.28,1.08,0.83,1.07,1.08,1.03,0.88,1.07,1.33
g_1,0.78,0.85,1.25,0.94,0.76,0.7,0.95,1.82,1.09,1.02,1.07,1.43,1.02,1.11,1.27,0.92
c_0,0.89,0.93,1.02,0.73,0.76,0.64,1.11,1.11,1.57,0.92,1.78,1.16,1.31,1.08,1.31,1.16
d_0,0.83,0.9,0.66,1.66,0.87,0.66,0.97,1.02,0.63,1.46,0.96,1.03,1.0,1.06,1.06,1.0
b_0,0.85,0.98,0.98,0.87,0.64,0.59,1.17,1.1,1.06,0.96,1.64,1.08,2.11,1.22,1.2,1.17
f_0,0.7,0.93,0.99,0.92,0.81,0.8,1.14,1.13,1.09,1.02,1.32,1.65,1.29,1.18,2.43,1.34
a_0,0.85,0.99,0.92,0.95,0.82,0.65,1.18,1.06,1.18,0.9,1.22,1.25,1.75,1.31,1.2,0.99
h_0,0.79,1.11,1.03,0.9,0.91,0.64,0.89,1.27,0.99,0.93,0.98,1.0,1.15,0.76,1.11,1.27
e_0,0.74,1.07,0.89,0.79,0.91,0.91,1.17,1.09,1.07,0.8,1.18,1.01,1.25,1.25,2.41,1.22
g_0,0.69,0.86,1.23,0.81,0.84,0.73,1.05,0.91,1.12,0.71,1.2,1.55,1.32,1.09,1.26,1.07
