,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,1.03,0.87,0.95,0.75,0.55,0.61,0.47,0.45,0.42,0.41,0.31,0.35,0.45,0.35
f_1,1.3,1.0,1.14,1.11,0.71,0.67,0.4,0.4,0.42,0.53,0.39,0.39,0.3,0.36,0.24,0.33
c_1,0.97,0.87,1.0,1.04,1.32,0.77,0.5,0.34,0.3,0.47,0.31,0.37,0.36,0.33,0.34,0.37
d_1,1.15,0.9,0.97,1.0,1.09,0.71,0.47,0.41,0.61,0.37,0.43,0.41,0.35,0.27,0.32,0.25
b_1,1.06,1.42,0.76,0.92,1.0,1.49,0.56,0.51,0.62,0.55,0.46,0.43,0.39,0.34,0.31,0.33
a_1,1.33,1.48,1.3,1.41,0.67,1.0,0.78,0.59,0.46,0.54,0.62,0.51,0.43,0.35,0.52,0.42
h_1,1.78,2.63,1.99,2.09,1.75,1.26,1.0,0.84,0.8,1.0,0.8,0.77,0.73,0.58,0.69,0.78
d_0,1.64,2.63,2.97,2.17,1.98,1.64,1.17,1.0,0.87,0.84,0.95,0.93,0.94,0.69,0.71,0.93
c_0,2.27,2.5,3.68,1.59,1.56,2.15,1.25,1.14,1.0,1.02,1.17,0.95,0.94,0.97,0.79,0.81
g_1,2.18,1.95,2.18,2.75,1.84,1.91,0.99,1.21,1.0,1.0,0.97,1.13,0.75,0.64,0.69,0.77
b_0,2.32,2.69,3.28,2.27,2.05,1.6,1.19,1.14,0.82,1.01,1.0,0.86,0.82,1.1,0.86,0.76
f_0,2.32,2.49,2.65,2.47,2.55,1.95,1.3,1.07,1.04,0.87,1.1,1.0,1.02,0.81,1.11,0.56
h_0,2.88,3.26,2.82,2.95,2.51,2.07,1.33,1.11,1.02,1.32,1.2,1.03,1.0,0.78,0.87,1.11
a_0,2.68,2.64,3.06,3.65,2.94,,1.9,1.38,1.01,1.49,0.91,1.33,1.27,1.0,1.0,0.97
e_0,2.06,4.32,2.97,3.17,3.16,1.97,1.49,1.33,1.24,1.42,1.19,0.91,1.18,1.03,1.0,0.96
g_0,2.77,3.0,2.73,3.83,3.01,2.23,1.35,1.03,1.17,1.41,1.33,1.69,0.85,1.09,1.09,1.0
