,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.23,0.37,0.44,0.39,0.32,0.1,0.08,0.08,0.12,0.07,0.11,0.05,0.06,0.1,0.05
f_1,0.33,0.16,0.34,0.4,0.35,0.27,0.07,0.07,0.07,0.12,0.08,0.09,0.04,0.07,0.06,0.06
d_1,0.39,0.38,0.15,0.38,0.34,0.35,0.09,0.1,0.07,0.06,0.06,0.07,0.05,0.07,0.06,0.03
c_1,0.3,0.34,0.54,0.14,0.36,0.35,0.11,0.05,0.12,0.11,0.07,0.07,0.05,0.06,0.08,0.05
b_1,0.38,0.43,0.38,0.2,0.12,0.35,0.11,0.08,0.1,0.13,0.12,0.08,0.05,0.08,0.07,0.05
a_1,0.37,0.42,0.37,0.34,0.18,0.09,0.13,0.08,0.08,0.1,0.09,0.08,0.06,0.12,0.07,0.06
h_1,0.35,0.31,0.31,0.36,0.31,0.26,0.05,0.08,0.06,0.09,0.07,0.07,0.05,0.06,0.06,0.04
d_0,0.22,0.29,0.5,0.33,0.35,0.29,0.11,0.05,0.08,0.11,0.07,0.08,0.05,0.07,0.08,0.07
c_0,0.39,0.36,0.2,0.52,0.32,0.32,0.09,0.1,0.05,0.08,0.06,0.06,0.05,0.07,0.07,0.04
g_1,0.33,0.35,0.31,0.34,0.29,0.35,0.07,0.07,0.06,0.04,0.07,0.06,0.03,0.06,0.06,0.05
b_0,0.3,0.33,0.26,0.4,0.42,0.33,0.09,0.07,0.04,0.09,0.05,0.07,0.04,0.07,0.06,0.04
f_0,0.34,0.4,0.3,0.35,0.28,0.34,0.08,0.07,0.07,0.06,0.06,0.04,0.04,0.05,0.05,0.03
h_0,0.3,0.35,0.3,0.33,0.33,0.3,0.11,0.06,0.07,0.09,0.07,0.06,0.06,0.06,0.06,0.04
a_0,0.3,0.31,0.32,0.37,0.38,0.33,0.08,0.07,0.05,0.11,0.04,0.06,0.05,0.03,0.06,0.04
e_0,0.44,0.46,0.32,0.3,0.25,0.27,0.11,0.07,0.07,0.06,0.07,0.04,0.04,0.06,0.03,0.04
g_0,0.35,0.32,0.31,0.32,0.32,0.27,0.07,0.07,0.06,0.11,0.07,0.07,0.04,0.06,0.06,0.05
