,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.71,2.41,1.99,2.88,2.1,1.92,8.01,7.25,17.93,10.28,11.08,10.16,15.76,11.11,17.11,8.46
f_1,3.62,5.9,2.06,2.09,1.96,2.1,6.95,7.55,10.13,8.73,11.25,5.57,15.62,10.34,12.66,8.5
d_1,2.12,2.39,6.72,1.91,1.9,2.3,9.09,8.19,6.84,18.1,13.07,11.34,17.16,11.31,17.09,12.36
c_1,1.96,2.04,2.09,6.74,4.28,1.86,7.79,8.09,10.15,6.12,6.75,10.58,14.59,10.8,12.98,11.24
b_1,2.02,2.49,2.27,1.91,7.92,4.58,7.48,7.44,7.98,10.17,6.21,9.99,16.22,8.26,13.38,11.28
a_1,2.21,2.19,2.63,2.02,2.37,11.5,8.45,7.38,10.26,11.67,9.53,11.8,19.23,6.64,17.87,13.72
h_1,2.27,3.2,2.52,2.45,2.55,1.87,17.57,12.19,10.75,9.4,12.68,10.38,13.65,13.59,22.34,11.94
g_1,2.05,2.18,3.77,2.29,2.2,2.39,9.23,21.04,8.09,9.4,11.89,17.39,17.38,12.19,14.98,15.83
d_0,2.19,2.31,1.66,4.45,2.84,2.09,8.54,7.94,17.24,8.81,10.43,10.78,20.24,12.01,16.77,14.12
c_0,2.55,2.88,2.41,2.13,1.83,2.65,9.04,9.35,12.43,18.81,22.76,11.14,19.02,13.52,19.31,16.26
b_0,2.56,2.69,2.69,2.9,1.54,1.51,10.49,10.86,11.67,11.24,21.81,12.96,17.05,25.74,20.0,14.86
f_0,2.12,1.84,2.66,2.82,2.51,2.56,10.02,10.35,10.96,11.75,12.8,22.76,21.22,14.65,23.04,26.55
h_0,2.43,3.46,2.61,2.31,2.4,2.33,6.45,11.86,8.77,10.75,12.05,10.82,11.72,12.12,26.73,12.78
a_0,2.38,2.63,2.88,2.96,2.12,1.46,9.71,9.25,11.83,12.24,13.49,12.93,21.1,28.59,19.48,13.39
g_0,2.3,2.54,3.71,2.34,1.99,2.64,8.24,7.69,8.39,10.89,13.42,17.05,17.54,14.37,16.14,14.78
e_0,1.53,2.48,2.8,2.71,2.69,2.66,10.23,10.59,11.38,12.22,12.0,11.97,20.34,15.19,19.33,30.28
