,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,19.24,43.9,38.29,37.85,31.6,8.85,10.52,7.21,6.41,7.15,7.55,3.77,6.82,,3.69
f_1,32.25,0.45,34.3,31.76,30.18,37.24,6.66,10.83,6.94,6.51,7.08,,3.07,6.21,5.49,7.31
d_1,44.32,36.38,0.43,33.47,29.22,50.48,9.48,5.35,6.38,,7.52,6.27,5.23,5.56,7.82,3.18
c_1,28.99,28.4,49.94,0.41,43.43,42.29,10.2,8.03,,4.76,8.51,7.44,4.97,9.51,6.01,4.32
b_1,34.84,42.38,31.15,19.6,0.39,36.38,16.34,15.96,9.87,8.31,,5.92,5.77,,6.75,5.81
a_1,62.59,74.47,40.73,41.97,28.1,0.33,11.34,13.54,7.41,11.2,10.03,6.62,4.7,,,8.97
h_1,17.35,16.19,19.33,19.82,13.63,14.17,0.38,4.57,3.4,3.1,3.27,3.8,,5.42,3.05,3.79
g_1,16.06,36.1,18.56,23.58,21.8,28.76,3.12,0.34,4.54,6.22,4.09,3.57,2.16,3.8,3.57,
c_0,16.05,20.61,8.62,,18.68,12.93,3.41,4.01,0.5,4.2,3.23,3.21,1.92,3.33,3.47,1.62
d_0,9.47,15.63,,15.69,19.34,15.19,4.18,5.03,3.23,0.47,3.02,3.46,2.58,3.01,2.67,2.08
b_0,17.36,14.83,16.44,28.76,,23.24,4.07,5.12,1.64,2.85,0.5,2.38,2.72,3.4,3.18,1.77
f_0,18.29,,22.15,15.69,14.5,20.88,6.91,2.81,3.69,3.16,3.21,0.46,2.93,2.76,3.21,1.82
h_0,18.32,11.97,8.75,14.09,10.73,11.41,,3.5,2.61,3.04,2.79,2.1,,2.6,2.71,2.1
a_0,19.75,18.58,20.74,16.36,,,5.56,7.54,4.77,4.24,1.75,5.9,4.03,0.4,,
e_0,,16.18,24.1,19.44,24.39,,8.05,7.09,3.67,2.85,3.78,3.21,3.08,,0.38,3.76
g_0,19.84,17.11,16.71,11.3,12.85,10.93,3.41,,3.29,2.89,2.74,3.14,1.24,,3.25,
