,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.99,0.81,0.84,0.68,0.48,0.38,0.44,0.52,0.43,0.39,0.34,0.36,0.27,0.32
f_1,0.93,1.0,1.23,0.93,0.84,0.68,0.42,0.46,0.45,0.39,0.38,0.35,0.31,0.3,0.32,0.24
e_1,1.01,0.83,1.0,1.04,0.89,0.75,0.5,0.48,0.58,0.44,0.45,0.41,0.34,0.35,0.33,0.3
c_1,1.25,1.03,0.96,1.0,1.27,0.76,0.52,0.51,0.35,0.39,0.36,0.45,0.4,0.34,0.35,0.33
b_1,1.17,1.2,1.11,0.82,1.0,1.17,0.55,0.49,0.48,0.54,0.5,0.44,0.41,0.38,0.38,0.37
a_1,1.41,1.41,1.31,1.34,0.87,1.0,0.8,0.68,0.65,0.61,0.65,0.49,0.55,0.55,0.45,0.46
h_1,2.08,2.35,2.03,1.9,1.72,1.29,1.0,1.1,0.82,0.8,0.77,0.68,0.77,0.67,0.7,0.61
g_1,2.58,2.18,2.03,1.94,1.97,1.44,0.89,1.0,0.9,0.99,0.92,1.0,0.7,0.73,0.66,0.76
d_0,2.27,2.24,1.77,2.9,2.06,1.48,1.18,1.06,1.0,0.9,0.99,0.8,0.87,0.68,0.72,0.79
c_0,1.94,2.57,2.3,2.52,1.89,1.62,1.25,1.04,1.17,1.0,1.31,0.9,0.9,0.87,0.76,0.85
b_0,2.39,2.62,2.26,2.68,1.95,1.52,1.25,1.09,1.0,0.76,1.0,0.92,0.81,1.03,0.78,0.68
f_0,2.57,2.77,2.37,2.25,2.29,2.09,1.34,0.97,1.11,1.14,1.12,1.0,0.91,0.9,0.68,1.31
h_0,2.92,3.27,2.96,2.51,2.51,1.87,1.31,1.38,1.16,1.13,1.21,1.08,1.0,0.89,1.03,0.8
a_0,2.93,3.56,2.93,2.91,2.59,1.74,1.53,1.46,1.39,1.17,1.02,1.05,1.09,1.0,0.92,0.84
g_0,3.64,3.11,2.99,2.88,2.68,2.25,1.42,1.48,1.25,1.35,1.37,1.48,0.98,1.08,1.0,1.15
e_0,3.2,3.94,3.42,2.92,2.97,2.36,1.57,1.32,1.19,1.11,1.37,0.86,1.22,1.11,0.89,1.0
