,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,1.82,1.46,1.78,1.62,1.45,0.33,0.5,0.31,0.31,0.31,2.11,0.18,0.3,0.26,0.24
e_1,0.83,0.17,2.36,1.58,1.65,2.08,0.46,0.53,0.41,0.41,0.42,0.42,0.25,0.4,0.28,1.7
d_1,1.71,2.08,0.16,1.97,1.91,1.34,0.49,0.31,1.6,0.28,0.31,0.27,0.22,0.34,0.13,0.31
c_1,1.68,1.41,2.15,0.15,1.4,2.09,0.45,0.43,0.18,1.26,0.34,0.32,0.23,0.36,0.25,0.32
b_1,2.0,1.34,1.94,0.9,0.13,1.5,0.66,0.54,0.34,0.46,1.38,0.38,0.22,0.32,0.31,0.42
a_1,2.05,1.51,1.61,1.73,0.93,0.1,0.56,0.54,0.37,0.43,0.38,0.38,0.28,1.73,0.23,0.33
h_1,1.02,1.21,0.79,0.83,0.92,0.84,0.07,0.27,0.24,0.16,0.19,0.17,0.35,0.16,0.2,0.2
g_1,0.85,0.99,0.77,1.02,1.12,0.93,0.24,0.05,0.24,0.23,0.16,0.19,0.11,0.22,0.37,0.2
d_0,1.09,0.47,2.44,1.01,1.05,0.96,0.31,0.32,0.07,0.16,0.18,0.15,0.15,0.21,0.15,0.17
c_0,1.53,0.89,0.46,2.64,1.08,1.15,0.23,0.3,0.2,0.07,0.19,0.14,0.15,0.21,0.15,0.16
b_0,0.95,0.9,0.71,1.55,2.94,0.9,0.26,0.26,0.16,0.09,0.06,0.17,0.12,0.16,0.12,0.17
f_0,2.29,0.93,0.72,0.71,1.08,0.79,0.31,0.15,0.2,0.2,0.2,0.05,0.13,0.17,0.09,0.17
h_0,0.89,1.15,0.83,1.03,0.73,0.77,0.64,0.32,0.26,0.15,0.18,0.19,0.52,0.17,0.15,0.17
a_0,0.92,0.9,0.93,0.81,1.49,2.19,0.24,0.26,0.28,0.15,0.11,0.17,0.13,0.05,0.12,0.14
g_0,1.03,0.91,0.87,1.13,0.84,1.09,0.17,0.6,0.21,0.14,0.18,0.14,0.12,0.17,0.25,0.15
e_0,1.07,3.79,0.82,1.05,0.83,0.93,0.21,0.32,0.14,0.13,0.15,0.09,0.14,0.11,0.13,0.04
