,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.91,1.05,0.86,0.87,0.7,0.73,0.95,0.69,0.72,0.74,0.62,0.69,0.58,0.84
f_1,1.21,1.0,0.97,0.94,0.81,0.89,0.65,0.81,0.65,0.55,0.63,0.57,0.59,0.44,0.65,0.4
d_1,1.09,1.04,1.0,0.93,0.94,0.84,0.78,0.58,0.58,0.84,0.74,0.59,0.56,0.6,0.46,0.5
c_1,0.96,1.06,1.08,1.0,1.34,0.63,0.7,0.61,0.47,0.56,0.53,0.58,0.58,0.65,0.61,0.56
b_1,1.16,1.24,1.07,0.74,1.0,1.27,0.71,0.7,0.66,0.69,0.65,0.79,0.62,0.63,0.53,0.51
a_1,1.16,1.13,1.2,1.58,0.78,1.0,1.13,0.8,0.83,0.76,0.74,0.71,0.71,0.78,0.67,0.8
h_1,1.46,1.5,1.3,1.38,1.38,0.87,1.0,1.12,0.97,0.97,0.93,0.8,0.81,1.0,0.97,0.81
g_1,1.32,1.28,1.68,1.67,1.43,1.3,0.9,1.0,0.89,0.97,0.81,1.06,0.8,0.73,0.73,0.84
d_0,1.1,1.55,1.73,2.02,1.48,1.21,1.05,1.16,1.0,0.84,0.95,0.98,0.81,0.97,0.81,0.85
c_0,1.39,1.86,1.18,1.83,1.37,1.34,1.01,1.07,1.16,1.0,1.34,1.04,1.01,0.97,0.83,0.89
b_0,1.41,1.63,1.35,1.87,1.41,1.33,1.08,1.22,1.04,0.73,1.0,1.01,1.27,1.11,1.06,0.88
f_0,1.29,1.81,1.75,1.68,1.44,1.31,1.26,0.95,1.05,0.98,0.98,1.0,1.02,1.12,0.69,1.25
a_0,1.62,1.68,1.83,1.66,1.55,1.39,1.21,1.3,1.2,0.94,0.86,1.06,1.0,0.83,0.97,1.18
h_0,1.38,2.21,1.69,1.6,1.53,1.26,1.01,1.36,1.04,1.04,0.94,0.9,1.12,1.01,1.07,0.87
g_0,1.64,1.56,2.22,1.58,1.89,1.4,1.05,1.35,1.26,1.23,0.99,1.45,1.01,0.95,1.0,0.98
e_0,1.31,2.58,1.97,1.95,1.78,1.31,1.26,1.2,1.15,1.14,1.11,0.81,0.86,1.05,0.93,1.0
