,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.93,4.58,3.82,4.35,4.21,1.0,1.48,1.03,0.74,0.8,1.77,0.44,0.82,0.78,0.69
e_1,2.59,1.12,5.66,4.75,4.9,3.7,1.36,2.06,0.94,0.96,0.87,1.29,0.67,0.84,1.85,0.71
c_1,4.99,3.82,1.12,5.84,4.41,5.16,1.33,1.33,0.54,1.58,0.94,0.81,0.64,1.0,0.98,0.64
d_1,4.79,5.94,4.28,1.12,5.11,3.67,1.25,0.85,1.99,0.89,1.03,1.02,0.74,1.02,1.18,0.47
b_1,6.22,5.72,3.13,5.15,1.14,6.56,1.7,1.59,1.33,1.72,2.77,1.19,0.93,1.02,1.09,0.95
a_1,10.86,9.54,8.54,8.43,4.15,1.14,3.09,2.35,1.62,1.47,2.17,1.43,1.37,2.92,1.37,1.27
h_1,15.73,14.73,15.71,14.2,12.91,12.25,1.72,4.27,3.06,2.77,3.45,2.52,4.32,2.84,2.5,2.5
g_1,22.12,18.2,18.41,18.03,18.94,18.67,4.25,1.77,4.31,4.3,3.65,3.82,2.17,5.27,3.16,3.23
d_0,21.1,10.47,21.52,38.15,18.81,21.37,5.82,6.53,2.4,4.05,4.13,3.51,3.25,5.21,3.6,3.29
c_0,20.17,21.12,45.4,10.48,20.44,18.67,6.16,6.0,5.94,2.41,4.01,4.02,3.57,4.72,4.77,3.06
b_0,21.1,19.94,29.86,15.55,48.15,21.13,6.39,5.64,4.43,2.25,2.24,5.64,3.2,4.27,4.83,3.7
f_0,40.56,23.05,26.73,23.27,22.55,22.89,6.58,3.83,4.65,4.91,5.48,2.24,3.43,5.64,4.17,2.25
h_0,29.92,30.86,25.3,26.25,32.66,31.02,12.49,8.12,5.53,5.56,4.67,5.58,5.84,4.61,4.22,3.74
a_0,32.88,31.97,32.17,25.05,31.57,45.79,8.98,7.57,7.3,5.37,3.24,8.8,4.28,2.48,6.55,4.18
e_0,50.0,60.15,32.81,30.66,29.91,33.16,9.8,6.66,6.62,5.82,6.33,3.09,6.55,10.41,2.4,4.18
g_0,34.43,35.14,37.66,32.81,34.23,54.94,6.68,13.06,6.23,6.92,6.55,6.25,3.48,7.38,6.02,7.89
