,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,2.56,3.55,3.33,2.99,2.98,1.87,2.05,1.71,1.94,2.43,1.97,1.14,1.57,1.45,
f_1,4.14,0.42,3.58,4.02,2.71,5.31,1.52,1.91,1.52,1.94,1.26,,1.11,1.6,1.48,1.85
d_1,3.82,3.35,0.42,3.82,4.21,3.02,1.85,,1.91,1.27,1.58,1.6,1.46,1.71,1.04,1.3
c_1,3.9,3.23,3.95,0.39,2.96,4.52,1.7,1.16,,1.8,1.68,2.15,1.21,2.16,1.23,1.8
b_1,3.48,4.38,3.87,2.69,0.35,3.18,2.13,1.38,1.93,2.47,,1.61,1.4,,1.07,1.39
a_1,4.39,3.19,4.27,2.51,3.37,0.29,2.06,1.54,1.88,,,,1.6,,1.26,
h_1,1.74,1.72,2.16,2.04,2.04,1.74,0.27,0.74,0.86,1.33,0.61,0.91,,,0.73,0.51
d_0,1.04,1.46,,1.6,1.98,1.41,0.92,0.3,0.67,0.82,0.92,0.64,0.67,0.59,0.61,0.73
c_0,1.52,1.96,1.14,,1.76,1.66,0.71,0.71,0.3,0.84,0.76,0.57,0.52,0.61,0.8,
g_1,2.01,1.75,2.01,2.27,2.01,,0.67,0.79,0.84,0.23,0.78,0.75,0.68,0.9,,0.69
b_0,1.42,2.09,1.62,1.99,,,1.08,0.62,0.43,0.93,0.28,0.85,0.64,0.84,0.54,0.63
f_0,1.67,,1.46,1.38,1.61,,1.0,0.72,0.78,0.81,0.6,0.25,0.71,0.65,0.36,
h_0,1.64,1.36,1.16,1.4,1.17,1.05,,0.48,0.63,0.61,0.49,0.52,,0.73,0.62,
a_0,1.57,1.68,1.35,1.48,,,,0.8,0.66,0.78,0.47,0.8,0.54,0.22,,
g_0,1.4,1.33,1.29,1.32,1.66,1.58,0.51,0.61,0.55,,0.74,0.78,0.31,,,0.61
e_0,,1.99,1.53,1.25,1.47,,0.99,0.73,,1.0,0.87,,,,0.57,0.21
