,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.93,0.08,0.09,0.1,0.1,0.05,0.07,0.1,0.06,0.07,0.04,0.06,0.06,0.07,,0.03
d_1,0.09,0.93,0.11,0.12,0.07,0.06,0.07,,0.11,0.05,0.07,0.05,0.08,0.04,0.05,0.04
f_1,0.14,0.11,0.93,0.11,0.08,0.08,0.07,0.06,0.07,0.05,0.07,,0.06,0.06,0.05,0.05
c_1,0.12,0.09,0.1,0.93,0.15,0.06,0.09,0.06,,0.05,0.05,0.07,0.06,0.05,0.06,0.04
b_1,0.12,0.13,0.13,0.08,0.93,,0.07,0.07,0.07,0.07,,0.05,0.08,0.04,0.03,0.04
a_1,0.13,0.11,0.13,0.12,,0.93,0.11,0.09,0.09,,0.07,0.07,0.06,0.05,,
h_1,0.32,0.24,0.29,0.27,0.26,0.16,0.71,0.23,0.22,0.24,0.17,0.14,,0.16,0.11,0.11
d_0,0.31,,0.41,0.61,0.29,0.24,0.18,0.58,0.21,0.17,0.24,0.15,0.2,0.17,0.09,0.17
c_0,0.37,0.32,0.41,,0.3,0.24,0.16,0.23,0.57,0.15,0.38,0.23,0.2,0.21,0.15,0.11
g_1,0.21,0.44,0.32,0.31,0.27,,0.16,0.2,0.22,0.71,0.19,0.3,0.13,,0.12,
b_0,0.37,0.36,0.34,0.33,,0.19,0.33,0.18,0.21,0.17,0.59,0.22,0.19,0.22,0.18,0.24
f_0,0.43,0.47,,0.29,0.4,0.22,0.29,0.32,0.25,0.14,0.2,0.55,0.21,0.17,0.24,0.13
h_0,0.57,0.36,0.66,0.42,0.34,0.32,,0.33,0.34,0.4,0.25,0.27,,0.31,0.16,0.15
g_0,0.43,0.92,0.3,0.51,0.52,0.38,0.36,0.35,0.23,,0.21,0.37,0.23,,0.21,0.17
e_0,,0.35,0.33,0.35,0.43,,0.29,0.3,0.31,0.26,0.23,0.17,0.31,0.25,0.57,
a_0,0.37,0.51,0.4,0.44,0.32,,0.31,0.28,0.32,,0.21,0.24,0.38,0.21,,0.54
