,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.87,0.04,0.06,0.07,0.07,0.04,0.35,0.67,0.26,0.4,0.38,0.43,0.56,0.4,,0.46
d_1,0.06,38.23,0.08,0.05,0.07,0.05,0.28,,0.28,0.63,0.33,0.52,0.48,0.39,0.46,0.72
f_1,0.1,0.06,38.92,0.07,0.07,0.07,0.24,0.43,0.21,0.35,0.46,,0.6,0.47,0.39,0.58
c_1,0.07,0.07,0.06,42.21,0.14,0.08,0.32,0.39,0.28,,0.28,0.32,0.47,0.33,0.38,0.82
b_1,0.06,0.08,0.07,0.06,49.87,0.13,0.28,0.35,0.35,0.4,,0.41,0.59,0.24,0.38,0.47
a_1,0.09,0.06,0.07,0.09,0.05,74.73,0.24,0.24,0.33,0.37,0.35,0.28,0.73,,,0.46
h_1,0.25,0.28,0.4,0.26,0.24,0.28,26.52,1.37,1.46,1.29,1.76,1.45,,1.37,1.48,1.59
d_0,0.39,,0.36,0.64,0.32,0.42,1.83,16.78,1.2,1.64,2.17,1.46,3.7,1.86,1.42,2.56
g_1,0.21,0.46,0.21,0.29,0.23,0.3,0.85,1.34,32.9,1.28,1.22,2.41,1.59,1.42,1.63,
c_0,0.27,0.44,0.46,,0.35,0.32,1.34,1.75,1.77,17.22,3.04,2.42,3.68,1.41,1.42,2.85
b_0,0.4,0.35,0.31,0.37,,,1.88,1.66,1.16,2.2,20.5,2.14,3.39,3.86,1.33,2.77
f_0,0.4,0.34,,0.33,0.37,0.38,1.4,1.86,1.47,2.59,2.14,21.3,2.35,2.25,3.64,2.34
h_0,0.53,0.66,0.62,0.48,0.46,0.75,,3.35,2.79,1.61,2.62,2.36,,3.49,3.05,8.35
a_0,0.37,0.32,0.28,0.47,0.25,,1.45,2.27,1.33,2.53,1.35,2.02,4.87,27.78,,2.36
e_0,,0.29,0.4,0.23,0.29,,1.83,3.11,1.34,2.19,2.36,1.65,2.88,,34.38,3.38
g_0,0.37,0.8,0.5,0.46,0.56,0.52,2.39,2.5,,4.0,3.22,3.06,5.59,,3.37,
