,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.14,11.73,10.06,13.7,10.07,9.68,2.27,3.48,2.69,2.47,1.89,8.3,2.04,1.14,2.28,1.96
e_1,6.46,1.14,11.54,10.97,13.67,13.14,3.55,4.42,2.36,2.54,2.16,2.75,3.07,1.98,15.48,1.66
d_1,12.62,17.74,1.14,11.63,10.56,9.97,2.9,1.95,2.15,11.87,2.46,1.99,1.96,1.66,2.3,0.99
c_1,13.28,10.61,13.81,1.14,10.98,12.57,3.46,2.84,9.67,1.38,2.71,2.14,2.44,1.87,2.25,1.88
b_1,15.9,11.3,15.04,6.53,1.14,15.44,3.99,5.29,3.41,2.86,10.25,2.97,2.96,2.28,3.52,2.12
a_1,18.0,20.47,18.52,22.31,12.91,1.15,9.42,7.81,3.72,4.06,5.64,3.85,19.29,3.17,4.56,2.76
h_1,32.24,25.43,25.73,35.51,31.46,31.61,1.91,10.03,5.36,4.36,6.48,5.2,5.4,9.8,4.24,3.79
g_1,31.95,42.7,31.5,46.51,40.81,31.61,6.52,1.86,5.54,8.11,7.23,5.26,6.64,3.0,5.84,10.53
c_0,39.4,33.26,16.85,150.09,40.27,32.63,7.82,12.68,2.48,8.32,6.48,5.63,6.43,4.57,7.12,5.27
d_0,36.18,18.21,160.48,32.69,39.22,29.75,11.17,12.22,7.62,2.62,8.06,7.88,7.79,5.15,6.36,8.22
b_0,33.45,33.58,29.05,58.96,131.3,41.29,10.43,11.2,4.02,8.22,2.61,8.02,7.11,4.96,6.36,5.62
f_0,131.33,51.63,34.04,51.59,42.54,44.96,15.33,8.0,8.53,11.87,7.52,2.78,9.2,7.73,8.9,5.52
a_0,54.55,44.35,60.18,58.96,60.4,168.58,14.75,15.63,9.26,9.43,5.08,11.82,2.89,7.58,12.71,7.33
h_0,61.14,58.63,51.85,53.26,50.33,54.68,39.1,14.93,11.17,13.35,9.89,10.51,7.94,25.12,10.17,8.87
e_0,101.31,,53.49,68.79,50.33,47.05,19.55,12.68,12.46,20.03,15.24,4.98,10.38,5.43,2.52,7.17
g_0,72.37,62.89,66.08,63.5,58.08,54.68,14.48,61.09,15.8,16.87,12.82,16.31,14.46,8.04,11.12,28.08
