,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.95,0.71,0.42,0.41,0.34,0.26,0.27,0.26,0.27,0.25,0.16,0.27,0.21,0.2,0.16,0.19
e_1,0.44,0.94,0.43,0.47,0.44,0.26,0.29,0.29,0.47,0.29,0.31,0.28,0.27,0.21,0.16,0.22
d_1,0.54,0.47,0.95,0.38,0.34,0.27,0.3,0.26,0.22,0.44,0.27,0.26,0.28,0.21,0.23,0.19
c_1,0.5,0.47,0.51,0.94,0.63,0.26,0.3,0.28,0.23,0.12,0.27,0.19,0.23,0.2,0.22,0.19
b_1,0.55,0.49,0.52,0.4,0.94,0.55,0.38,0.3,0.34,0.26,0.25,0.17,0.28,0.15,0.21,0.2
a_1,0.66,0.57,0.61,0.49,0.37,0.94,0.39,0.34,0.27,0.35,0.32,0.32,0.33,0.14,0.23,0.24
h_1,0.99,0.68,0.8,0.72,0.55,0.47,0.76,0.53,0.46,0.34,0.35,0.37,0.29,0.3,0.29,0.39
g_1,0.8,0.72,1.01,0.73,0.57,0.45,0.48,0.75,0.42,0.45,0.55,0.38,0.32,0.36,0.33,0.24
d_0,0.79,0.68,0.52,1.27,0.68,0.59,0.5,0.52,0.68,0.33,0.48,0.37,0.4,0.37,0.27,0.34
c_0,0.95,0.84,0.79,0.71,0.55,0.45,0.6,0.47,0.51,0.67,0.42,0.79,0.45,0.44,0.39,0.36
f_0,0.7,0.67,0.93,0.83,0.77,0.54,0.61,0.46,0.49,0.55,0.68,0.38,0.46,0.32,0.62,0.37
b_0,0.93,0.71,0.92,0.97,0.54,0.4,0.56,0.51,0.57,0.41,0.53,0.68,0.5,0.68,0.34,0.4
h_0,1.25,0.89,0.93,0.8,0.6,0.5,0.49,0.74,0.53,0.5,0.46,0.51,0.38,0.39,0.31,0.5
a_0,0.92,0.82,1.14,0.88,0.87,0.38,0.62,0.51,0.5,0.46,0.53,0.38,0.52,0.63,0.42,0.47
e_0,1.07,0.65,0.91,0.83,0.8,0.62,0.72,0.48,0.72,0.51,0.46,0.56,0.61,0.42,0.63,0.33
g_0,0.91,0.86,1.38,0.92,0.81,0.55,0.53,0.52,0.5,0.64,0.74,0.52,0.44,0.43,0.48,0.34
