,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.92,1.55,1.52,1.4,1.36,0.7,0.62,0.57,0.68,0.55,0.6,0.48,0.47,0.8,0.52
f_1,1.54,0.65,1.46,1.05,1.52,1.18,0.56,0.62,0.52,0.73,0.54,0.78,0.44,0.33,0.46,0.46
c_1,1.24,1.45,0.65,1.72,1.55,1.25,0.76,0.31,0.72,0.67,0.54,0.47,0.45,0.39,0.42,0.41
d_1,1.71,1.95,1.37,0.64,1.4,1.19,0.56,0.84,0.59,0.42,0.47,0.47,0.55,0.42,0.44,0.27
b_1,1.6,1.65,0.95,1.57,0.63,1.86,0.7,0.64,0.59,0.74,0.82,0.63,0.55,0.49,0.43,0.47
a_1,1.89,1.98,2.34,1.99,1.01,0.57,0.8,0.68,0.57,0.88,0.6,0.83,2.31,0.58,0.67,0.48
h_1,2.16,2.48,2.02,1.99,1.89,1.78,0.58,0.89,0.81,1.0,0.76,0.71,0.75,0.84,0.76,0.75
d_0,1.45,2.23,3.0,3.46,2.03,2.46,1.13,0.64,0.86,1.14,0.9,0.78,0.74,0.77,0.8,0.7
c_0,2.42,2.28,4.11,1.5,2.36,2.43,1.06,1.07,0.63,1.04,1.09,0.82,0.83,0.81,1.01,0.63
g_1,2.42,2.53,2.18,2.43,2.47,2.16,0.81,0.98,0.75,0.55,0.83,0.91,0.68,0.58,0.89,0.84
b_0,2.26,2.45,2.86,2.45,3.75,2.3,1.09,0.86,0.57,1.07,0.6,0.73,1.08,0.65,0.87,0.63
f_0,2.08,4.35,2.64,2.55,2.47,2.1,1.23,1.01,0.82,0.79,1.06,0.58,0.89,0.68,1.05,0.53
a_0,2.52,3.0,2.93,2.93,3.34,2.75,1.23,1.1,1.01,1.34,0.59,0.92,0.57,0.86,0.92,0.9
h_0,2.64,3.0,2.94,2.93,2.97,2.27,1.54,0.99,0.96,1.27,1.11,1.02,0.93,0.99,0.9,0.76
e_0,3.47,3.84,3.0,3.44,3.44,2.09,1.27,1.17,1.01,1.34,1.09,0.6,1.0,0.86,0.56,0.83
g_0,2.79,3.06,3.21,3.71,2.79,2.57,0.98,1.24,1.09,1.79,1.06,1.21,1.0,0.77,1.07,1.16
