,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.21,0.43,0.21,0.24,0.17,0.12,0.42,0.35,0.51,0.45,0.37,0.08,0.54,0.25,0.37,0.25
e_1,0.28,2.22,0.2,0.25,0.15,0.13,0.44,0.34,0.44,0.97,0.51,0.45,0.57,0.41,0.43,0.09
d_1,0.26,0.2,2.32,0.18,0.18,0.19,0.44,0.41,0.95,0.11,0.47,0.5,0.65,0.38,0.52,0.31
c_1,0.23,0.22,0.22,2.41,0.4,0.14,0.39,0.37,0.09,0.48,0.36,0.49,0.59,0.41,0.45,0.35
b_1,0.23,0.28,0.27,0.22,2.68,0.33,0.32,0.38,0.29,0.37,0.11,0.4,0.56,0.32,0.51,0.33
a_1,0.17,0.25,0.31,0.18,0.2,3.13,0.42,0.24,0.37,0.42,0.49,0.44,0.74,0.12,0.65,0.45
h_1,0.55,0.34,0.37,0.36,0.34,0.28,2.76,0.86,0.78,0.84,0.88,0.79,0.44,0.51,1.14,0.59
g_1,0.46,0.31,0.57,0.39,0.3,0.28,0.7,3.1,0.67,0.57,0.91,0.94,0.8,0.69,0.26,0.76
c_0,0.45,0.41,0.43,0.16,0.31,0.34,1.0,0.7,2.34,0.57,1.67,0.99,1.01,0.57,1.19,0.83
d_0,0.38,0.4,0.11,0.82,0.3,0.32,0.73,0.52,0.75,2.23,0.73,0.84,0.85,0.53,0.95,0.69
b_0,0.51,0.41,0.42,0.42,0.13,0.18,0.94,0.7,0.83,0.9,2.51,0.71,1.03,1.6,1.25,0.63
f_0,0.17,0.32,0.47,0.38,0.41,0.33,0.82,0.8,1.0,1.0,0.95,2.6,1.1,0.76,0.92,1.68
h_0,0.67,0.36,0.45,0.36,0.27,0.26,0.3,0.67,0.83,0.8,0.88,0.79,0.3,0.76,1.4,0.71
a_0,0.54,0.3,0.44,0.41,0.35,,0.95,0.67,0.81,0.97,0.63,0.93,1.13,2.87,1.13,1.03
g_0,0.33,0.32,0.7,0.42,0.23,0.37,0.65,0.3,0.85,0.75,0.89,1.18,0.94,0.72,0.39,0.59
e_0,0.47,0.19,0.34,0.41,0.45,0.34,0.71,0.66,0.89,0.93,0.95,0.95,1.3,0.91,1.08,3.1
