,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.54,2.81,2.74,2.69,2.65,0.58,0.6,0.88,0.57,0.54,0.8,0.28,0.54,0.64,0.48
e_1,1.83,1.1,3.15,3.06,3.58,3.34,0.9,0.71,0.97,0.65,0.61,0.82,0.43,0.6,1.03,0.48
c_1,3.54,2.59,1.11,3.84,3.25,2.97,0.92,0.39,0.87,0.93,0.64,0.6,0.52,0.62,0.54,0.45
d_1,4.01,3.77,3.61,1.1,3.13,2.88,0.89,1.07,0.63,0.66,0.72,0.66,0.44,0.74,0.55,0.32
b_1,4.27,4.36,2.18,4.44,1.12,4.21,1.24,0.93,1.03,1.06,1.32,0.75,0.67,0.79,0.73,0.51
a_1,7.65,5.36,5.9,5.0,2.91,1.12,1.86,1.24,1.81,1.45,1.63,1.38,0.88,1.86,1.04,0.89
h_1,11.06,10.84,11.9,11.16,10.14,9.48,1.67,2.67,3.21,2.18,2.39,2.11,2.02,2.43,2.28,1.63
d_0,13.65,8.31,16.24,20.43,16.7,14.67,4.56,2.08,5.18,3.0,2.82,3.08,2.51,2.95,3.41,2.22
g_1,17.26,15.21,17.72,13.74,15.16,12.78,3.54,3.08,1.69,3.15,3.18,2.82,1.53,3.08,2.4,2.92
c_0,15.28,16.17,27.47,8.71,17.11,16.37,4.35,4.34,4.42,1.98,3.47,3.86,2.83,3.08,3.01,2.51
b_0,16.67,15.81,20.86,12.95,25.13,15.85,4.61,3.4,4.45,1.75,2.0,3.5,2.4,4.41,3.23,2.55
f_0,25.84,17.34,20.1,20.83,18.59,17.85,6.26,4.23,3.24,4.22,3.65,2.07,2.87,4.51,3.94,1.74
h_0,26.37,21.49,21.97,19.3,20.81,21.53,8.87,4.4,5.75,4.19,4.41,3.58,4.54,3.98,3.86,3.32
a_0,22.51,23.61,24.78,22.8,29.67,34.75,6.26,4.58,5.69,3.65,2.42,3.74,3.4,2.17,4.08,3.42
e_0,33.77,30.16,35.83,26.44,27.08,20.21,7.16,4.93,5.96,4.59,4.82,2.38,3.58,5.26,2.41,2.74
g_0,26.92,27.4,28.66,26.44,25.13,28.71,6.13,6.0,9.88,5.9,5.91,6.36,3.3,5.62,5.82,5.1
