,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10.83,1.98,0.56,0.67,0.49,0.71,0.78,0.71,0.82,1.03,0.98,0.5,0.89,0.9,1.03,0.7
e_1,0.77,11.22,0.55,1.1,0.66,0.59,0.85,0.82,0.91,2.35,0.93,1.02,0.94,0.98,0.92,0.67
d_1,0.79,0.59,12.34,0.52,0.72,0.61,1.1,2.65,0.98,0.52,1.27,1.01,1.04,1.01,1.0,1.2
c_1,0.62,0.5,0.71,12.88,1.92,0.79,0.86,0.56,0.67,0.83,0.62,1.02,0.98,0.76,0.97,0.98
b_1,0.71,0.6,0.74,0.67,12.62,1.78,0.98,0.83,1.02,0.78,0.67,1.06,1.02,0.8,0.83,0.95
a_1,0.59,0.66,0.97,0.7,0.73,19.33,1.03,1.09,1.19,0.86,0.99,1.05,1.29,0.95,1.06,1.01
h_1,1.25,0.67,1.01,0.64,0.61,0.72,3.08,0.95,1.64,1.01,1.21,1.02,0.86,0.95,1.53,1.08
c_0,1.03,0.76,0.85,0.62,0.45,0.8,1.31,2.08,1.29,1.03,3.17,1.38,1.38,1.59,1.26,1.35
g_1,0.65,0.58,1.64,0.78,0.78,0.7,1.03,1.13,3.94,0.8,1.06,1.91,0.85,1.21,0.68,1.21
d_0,0.77,0.57,0.54,2.32,0.87,0.59,1.08,0.64,1.11,1.94,1.07,1.07,0.91,1.19,1.13,1.07
b_0,0.88,0.94,0.87,0.74,0.48,0.62,1.09,1.1,1.07,1.03,2.76,1.16,1.22,3.13,1.18,1.01
f_0,0.6,0.43,1.27,0.8,0.84,0.79,1.59,1.22,1.2,0.95,1.13,2.84,0.96,1.3,1.16,3.54
h_0,1.25,0.84,0.88,0.78,0.64,0.68,0.77,0.89,1.56,0.89,1.1,0.98,0.74,1.0,1.38,0.9
a_0,0.89,0.81,0.95,0.93,0.78,0.5,1.23,1.14,0.93,1.11,1.05,1.11,1.17,2.61,0.9,1.1
g_0,0.61,0.68,1.6,0.84,0.74,0.63,1.03,1.02,0.89,0.89,1.1,1.9,1.08,1.03,0.83,1.41
e_0,0.82,0.56,1.09,0.81,0.77,0.85,1.23,1.09,0.86,0.87,0.95,1.19,1.18,0.98,1.17,3.15
