,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.63,0.07,0.06,0.07,0.05,0.07,0.31,0.72,0.25,0.46,0.32,0.35,0.7,0.47,,0.37
f_1,0.15,5.81,0.08,0.06,0.07,0.09,0.3,0.3,0.29,0.47,0.32,,0.57,0.27,0.39,0.51
d_1,0.07,0.12,6.43,0.05,0.05,0.09,0.38,,0.28,0.55,0.41,0.42,0.56,0.31,0.55,0.53
c_1,0.08,0.08,0.05,6.71,0.16,0.06,0.31,0.44,0.24,,0.33,0.33,0.58,0.37,0.49,0.61
b_1,0.07,0.06,0.08,0.11,7.23,0.13,0.2,0.29,0.33,0.33,,0.55,0.71,0.33,,0.69
a_1,0.08,0.06,0.09,0.08,0.05,10.1,0.33,0.28,0.38,0.27,0.45,0.37,0.8,,,0.59
h_1,0.32,0.46,0.23,0.24,0.37,0.26,14.93,1.46,1.1,1.02,1.59,1.12,,1.11,1.65,3.13
d_0,0.26,0.28,,0.83,0.42,0.36,1.33,11.5,1.15,1.48,2.25,1.77,3.21,2.02,2.43,2.86
g_1,0.22,0.24,0.45,0.2,0.26,0.27,1.33,1.2,18.4,1.55,0.98,2.34,2.43,1.74,1.32,
c_0,0.44,0.4,0.45,,0.19,0.42,1.6,2.11,1.25,13.35,3.38,2.19,1.83,1.84,1.4,3.09
b_0,0.32,0.39,0.49,0.25,,0.29,1.43,1.9,1.83,1.66,14.49,1.99,2.8,3.39,1.65,3.74
f_0,0.36,,0.32,0.36,0.52,0.44,1.51,1.77,1.65,2.33,1.43,15.15,3.17,1.68,4.1,1.91
h_0,0.6,0.91,0.54,0.67,0.65,0.41,,2.91,2.94,2.38,2.6,2.43,,2.39,2.5,5.12
a_0,0.36,0.35,0.53,0.25,0.29,,1.78,2.02,1.1,1.74,2.54,2.12,3.65,20.05,,2.03
e_0,,0.35,0.37,0.45,,,1.4,2.34,1.53,2.58,1.41,2.23,3.9,,19.96,3.76
g_0,0.5,0.47,0.97,0.64,0.76,0.5,1.86,2.3,,3.86,3.25,2.8,2.4,2.54,3.38,
