,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.83,1.27,1.38,1.34,1.4,0.77,0.62,0.59,0.66,0.64,0.73,0.54,0.55,0.73,1.58
f_1,1.46,0.43,1.23,1.22,1.13,1.2,0.55,0.56,0.55,0.79,0.57,1.24,0.36,0.6,0.54,0.45
d_1,1.61,1.31,0.4,1.27,1.17,1.25,0.71,0.89,0.6,0.49,0.54,0.53,0.51,0.48,0.35,0.54
c_1,1.13,1.38,1.46,0.38,1.69,1.21,0.7,0.37,1.05,0.63,0.58,0.52,0.42,0.73,0.48,0.46
b_1,1.25,1.29,1.55,0.84,0.36,1.51,0.67,0.66,0.76,0.85,0.97,0.46,0.58,0.54,0.49,0.62
a_1,1.32,1.3,1.34,1.47,0.87,0.3,0.6,0.72,0.61,0.86,0.72,0.58,0.48,,0.54,0.54
h_1,0.79,1.12,0.96,0.93,1.01,0.96,0.27,0.45,0.39,0.62,0.41,0.49,0.81,0.38,0.41,0.43
d_0,0.63,1.07,1.95,1.16,0.89,0.85,0.51,0.29,0.48,0.62,0.51,0.48,0.4,0.39,0.4,0.47
c_0,1.01,1.06,0.57,2.41,0.86,1.06,0.61,0.52,0.27,0.5,0.54,0.5,0.41,0.5,0.37,0.52
g_1,1.0,1.09,0.92,1.19,0.9,0.81,0.45,0.43,0.44,0.22,0.45,0.41,0.28,0.49,0.58,0.55
b_0,0.8,0.96,0.91,1.26,1.83,0.96,0.55,0.42,0.25,0.51,0.25,0.35,0.39,0.48,0.34,0.54
f_0,0.87,1.92,0.81,0.88,1.32,1.1,0.46,0.39,0.34,0.35,0.37,0.24,0.42,0.36,0.22,0.44
h_0,0.82,1.19,0.87,1.26,0.9,0.93,0.67,0.39,0.39,0.65,0.38,0.36,0.61,0.36,0.39,0.4
a_0,0.79,0.96,1.05,0.79,1.36,,0.58,0.52,0.33,0.66,0.24,0.4,0.47,0.21,0.33,0.46
g_0,0.81,1.13,0.94,0.89,1.0,0.87,0.43,0.45,0.39,,0.39,0.47,0.32,0.56,0.51,0.44
e_0,1.47,1.57,0.84,0.93,0.91,0.77,0.57,0.39,0.4,0.44,0.36,0.23,0.3,0.48,0.3,0.2
