,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,0.89,0.92,0.86,0.84,0.8,0.19,0.28,0.18,0.2,0.18,0.22,0.11,0.16,0.17,0.15
e_1,0.58,0.42,0.95,0.92,1.03,0.92,0.28,0.33,0.23,0.22,0.21,0.27,0.13,0.18,0.24,0.14
d_1,1.08,1.01,0.41,1.0,0.93,0.85,0.24,0.17,0.27,0.17,0.2,0.17,0.11,0.16,0.16,0.08
c_1,0.92,0.8,1.22,0.4,0.94,0.91,0.29,0.27,0.12,0.27,0.19,0.2,0.14,0.18,0.2,0.13
b_1,1.19,1.04,1.26,0.6,0.37,1.09,0.35,0.34,0.21,0.31,0.39,0.21,0.18,0.22,0.26,0.16
a_1,1.39,1.48,1.32,1.22,0.65,0.31,0.37,0.39,0.31,0.34,0.41,0.27,0.22,0.43,0.29,0.21
h_1,1.76,1.56,1.69,1.9,1.48,1.31,0.29,0.48,0.39,0.36,0.37,0.33,0.32,0.35,0.37,0.27
g_1,2.08,1.79,1.53,2.2,1.88,1.69,0.4,0.26,0.43,0.32,0.37,0.42,0.22,0.35,0.34,0.29
d_0,1.97,1.3,2.68,2.17,1.94,1.77,0.64,0.72,0.31,0.45,0.42,0.44,0.32,0.46,0.42,0.33
c_0,2.27,2.09,1.2,3.03,2.23,1.82,0.62,0.53,0.6,0.28,0.43,0.42,0.3,0.43,0.36,0.29
b_0,2.15,1.94,1.52,3.28,2.42,1.87,0.54,0.52,0.46,0.24,0.28,0.4,0.28,0.45,0.39,0.29
f_0,2.65,1.99,2.05,2.62,2.12,1.82,0.61,0.46,0.53,0.42,0.45,0.28,0.32,0.42,0.39,0.2
h_0,2.57,2.27,2.0,2.71,2.62,2.39,0.84,0.65,0.56,0.44,0.49,0.45,0.42,0.42,0.42,0.36
a_0,2.51,2.43,2.24,2.82,3.29,2.45,0.74,0.68,0.52,0.38,0.28,0.46,0.35,0.28,0.53,0.33
e_0,3.05,3.09,2.34,2.9,2.63,2.15,0.8,0.66,0.48,0.49,0.47,0.29,0.38,0.4,0.25,0.28
g_0,2.8,2.7,2.47,2.82,2.59,2.38,0.65,0.92,0.6,0.51,0.59,0.52,0.32,0.49,0.5,0.48
